@relation P-train

@attribute P1 real
@attribute P2 real
@attribute P3 real
@attribute P4 real
@attribute P5 real
@attribute P6 real
@attribute P7 real
@attribute P8 real
@attribute P9 real
@attribute P10 real
@attribute P11 real
@attribute P12 real
@attribute P13 real
@attribute P14 real      
@attribute P15 real      
@attribute P16 real
@attribute P17 real
@attribute P18 real
@attribute P19 real
@attribute P20 real
@attribute P21 real
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data
36.40,27.70,35.80,20.30,27.30,22.70,1.20,24.30,50.90,74.60,99.40,3.50,26.00,45.70,79.80,97.70,0.60,21.40,49.70,70.50,100.00,39
36.60,31.70,31.70,22.70,23.90,16.60,1.20,23.80,49.40,71.30,96.30,0.60,23.20,48.20,72.00,100.00,2.40,26.80,51.20,76.80,99.40,39
33.10,23.60,43.30,16.70,28.80,21.80,6.40,28.70,52.20,74.50,100.00,1.90,16.60,49.70,70.70,98.10,0.60,21.70,46.50,77.70,99.40,39
33.60,24.40,42.00,22.30,33.10,15.40,1.50,22.90,48.90,73.30,97.70,0.80,31.30,55.70,69.50,94.70,2.30,20.60,42.70,74.80,100.00,39
35.10,29.80,35.10,22.30,27.70,18.50,0.80,19.10,47.30,70.20,97.70,2.30,22.10,42.70,68.70,100.00,1.50,28.20,55.00,76.30,99.20,39
30.50,37.40,32.10,22.30,20.80,25.40,1.50,18.30,55.00,76.30,98.50,0.80,29.00,44.30,69.50,100.00,3.80,21.40,48.90,74.00,99.20,39
34.30,27.70,38.00,14.70,29.40,22.80,2.20,19.00,47.40,73.00,98.50,0.70,26.30,43.80,75.90,95.60,1.50,27.70,52.60,71.50,100.00,39
33.60,30.40,36.00,20.20,31.50,23.40,0.80,24.80,55.20,78.40,100.00,4.00,23.20,47.20,68.00,93.60,1.60,19.20,44.00,69.60,99.20,39
32.10,33.90,33.90,23.00,22.00,21.50,1.60,22.70,50.70,73.10,99.50,0.50,23.80,45.20,72.30,99.70,0.30,27.20,52.50,77.00,100.00,46
36.00,33.70,30.30,24.40,21.00,17.00,1.70,26.60,51.60,72.20,99.70,0.30,19.00,47.30,75.60,100.00,1.40,26.30,50.10,76.50,97.70,46
36.10,30.80,33.10,20.70,27.70,16.70,0.50,24.40,50.20,77.60,99.80,0.70,26.40,47.30,70.90,94.30,0.20,22.90,51.70,75.10,100.00,46
31.10,33.10,35.90,18.50,25.00,21.90,2.80,24.90,53.20,76.80,100.00,0.80,21.00,46.50,74.20,99.70,0.30,25.80,49.30,73.70,98.90,46
33.20,33.20,33.50,19.10,24.10,22.60,0.60,22.30,50.00,76.00,100.00,1.70,23.40,50.60,74.60,99.70,0.30,26.60,47.70,72.00,99.40,46
36.50,28.40,35.10,20.00,28.60,21.10,0.60,18.60,43.50,73.10,99.80,0.20,29.20,50.60,76.50,99.00,0.40,26.30,52.20,75.30,100.00,46
31.70,41.50,26.80,25.90,18.00,17.40,0.30,19.30,46.70,68.60,100.00,0.70,29.40,51.60,75.80,98.40,3.30,24.20,50.30,82.00,99.70,46
31.90,33.90,34.20,23.00,23.50,23.50,0.60,24.10,56.20,76.20,99.70,0.30,20.00,42.90,71.00,100.00,2.00,29.30,51.90,74.80,99.10,46
34.30,28.00,37.70,19.10,26.70,21.20,1.40,23.50,49.80,76.50,99.30,0.30,18.30,47.10,77.20,100.00,0.70,26.00,51.90,71.60,98.60,46
33.00,35.10,31.90,22.20,21.80,22.50,2.10,22.80,49.10,74.70,100.00,0.40,33.30,54.40,74.40,98.90,1.10,20.70,40.70,73.70,99.60,46
33.70,32.70,33.70,24.40,24.40,20.50,1.90,23.30,49.20,74.80,99.40,0.30,25.20,49.50,75.40,100.00,0.60,24.60,49.80,72.20,98.40,46
35.00,27.50,37.50,21.00,29.00,20.10,1.10,22.60,45.80,71.60,99.70,0.30,21.50,51.60,74.50,95.40,1.40,28.10,53.30,80.50,100.00,46
31.40,38.20,30.40,25.80,21.90,22.90,0.50,26.00,50.10,76.40,100.00,0.30,19.00,41.60,72.50,98.40,0.80,30.40,54.50,75.30,99.00,46
30.60,35.60,33.90,23.10,18.40,22.30,0.80,25.80,47.20,70.80,100.00,0.30,28.10,58.60,80.30,99.70,1.40,20.00,44.70,68.10,99.40,46
37.10,27.60,35.20,22.30,28.30,15.60,1.30,24.80,48.30,74.00,100.00,0.30,25.70,49.80,73.30,98.40,1.00,22.20,50.80,75.90,99.70,46
29.40,38.50,32.20,21.80,20.40,26.10,1.40,21.00,47.60,65.70,95.10,0.70,24.50,51.70,79.70,100.00,2.80,30.10,48.30,70.60,97.90,46
34.40,34.80,30.80,29.60,24.80,17.70,0.90,26.40,54.20,76.70,100.00,0.40,21.60,55.50,75.80,98.20,1.30,22.90,43.20,68.70,98.70,46
33.60,34.80,31.60,32.10,23.90,14.80,0.80,26.60,52.90,76.20,99.60,0.40,25.80,55.70,73.40,100.00,1.20,19.30,41.00,63.50,99.20,46
32.30,31.30,36.30,20.90,22.40,25.10,0.50,25.10,50.60,77.90,99.20,0.30,21.60,48.40,69.90,99.00,1.00,26.30,47.90,75.40,100.00,46
35.70,35.40,28.90,26.60,22.30,16.90,0.30,21.40,50.90,74.30,99.70,1.10,27.10,50.00,74.00,99.10,0.60,23.10,47.70,74.60,100.00,46
32.10,32.90,35.00,20.60,24.80,26.30,2.40,29.10,52.60,75.30,99.70,0.30,22.10,46.50,73.20,99.10,0.60,22.40,46.80,72.90,100.00,46
35.70,29.40,34.90,23.50,22.70,18.70,0.40,29.00,49.20,71.80,100.00,1.20,23.00,43.70,76.20,98.40,0.80,22.20,52.40,75.00,99.60,46
35.10,35.90,29.00,26.70,21.50,15.00,0.40,24.60,46.40,70.20,98.80,3.60,25.80,54.00,80.20,100.00,0.80,19.80,47.20,71.80,99.20,46
30.80,37.50,31.70,22.30,25.20,27.20,1.00,20.20,47.10,73.10,96.20,2.90,27.90,46.20,78.80,100.00,1.90,19.20,49.00,69.20,99.00,46
34.70,30.60,34.70,23.20,23.80,20.10,0.30,24.40,50.60,74.10,100.00,0.90,26.60,53.10,76.20,97.20,0.60,21.20,48.40,68.80,99.10,46
30.20,39.90,29.90,25.80,17.10,24.80,1.30,21.50,47.30,74.00,100.00,0.30,27.30,51.40,74.30,99.70,1.60,25.40,47.60,75.60,98.70,46
32.20,33.90,33.90,21.30,20.50,23.80,1.20,22.90,48.20,73.90,98.40,2.40,24.50,48.60,76.30,99.20,0.40,22.40,51.80,74.30,100.00,46
30.80,35.90,33.30,23.70,22.40,24.20,0.30,23.40,49.40,72.30,99.20,0.80,22.40,47.60,75.10,99.70,0.50,27.20,51.70,74.60,100.00,46
36.40,23.70,39.90,17.20,30.00,18.10,0.40,19.70,46.90,72.80,99.60,0.90,21.10,39.00,67.50,91.70,1.30,25.90,54.80,81.60,100.00,46
32.70,32.10,35.30,18.10,25.80,23.20,1.30,28.20,50.60,72.40,97.40,2.60,17.30,41.00,78.20,98.70,0.60,22.40,53.80,73.10,100.00,47
32.70,38.60,28.60,25.70,18.40,21.70,0.50,24.10,50.30,76.50,100.00,0.30,22.70,50.00,73.80,99.50,1.10,25.70,47.30,71.90,99.70,47
34.30,31.80,33.90,20.80,24.70,20.80,0.30,21.10,51.20,77.20,99.70,1.00,27.00,54.00,71.30,99.30,0.70,24.90,47.10,73.70,100.00,47
30.10,39.80,30.10,25.20,18.10,24.90,0.60,23.00,52.50,78.00,100.00,0.30,22.70,47.50,73.90,99.70,0.90,27.00,49.40,70.80,98.40,47
30.00,38.90,31.10,15.90,23.80,21.70,4.20,25.80,49.50,73.20,100.00,0.50,18.40,53.20,77.40,99.50,2.10,30.00,47.40,70.00,98.90,47
31.70,36.70,31.70,25.10,20.10,22.20,1.70,23.80,49.60,74.20,96.70,0.40,20.80,48.30,72.90,99.60,0.80,29.20,51.20,75.00,100.00,47
32.50,31.60,35.90,16.40,23.30,29.30,4.30,21.40,44.40,68.40,99.10,1.70,23.10,43.60,74.40,100.00,0.90,28.20,56.40,71.80,94.00,47
32.80,38.40,28.80,23.70,19.30,21.50,1.70,23.10,47.60,76.40,99.60,0.40,22.70,49.30,73.40,98.70,0.90,28.40,51.50,74.20,100.00,47
35.30,32.80,31.90,24.60,24.60,16.10,3.40,23.50,45.40,68.90,99.20,0.80,19.30,38.70,70.60,100.00,4.20,30.30,57.10,78.20,95.00,47
31.70,38.20,30.10,20.00,21.10,22.70,2.70,22.60,51.10,72.60,97.80,0.50,18.80,48.90,76.90,98.90,1.60,29.00,47.30,73.10,100.00,47
30.50,39.00,30.50,19.30,20.70,25.00,1.40,27.00,51.80,80.10,98.60,0.70,23.40,39.70,69.50,100.00,2.80,18.40,49.60,73.80,97.20,47
35.90,29.70,34.40,20.50,27.60,15.00,3.90,18.80,46.10,66.40,100.00,0.80,37.50,60.90,78.10,99.20,1.60,19.50,35.90,71.10,97.70,48
37.10,32.30,30.60,26.80,21.10,17.10,0.80,18.50,48.40,70.20,98.40,3.20,25.00,46.80,72.60,96.80,1.60,27.40,54.80,77.40,100.00,48
29.90,42.50,27.50,26.50,16.90,24.10,1.20,22.20,43.70,67.10,99.40,1.80,23.40,53.30,76.00,98.20,0.60,24.60,47.90,73.10,100.00,48
36.80,34.00,29.20,23.10,27.30,21.00,2.80,21.50,49.30,67.40,97.90,0.70,25.00,47.90,78.50,99.30,2.10,26.40,47.20,75.70,100.00,48
32.40,34.10,33.50,23.80,23.30,23.80,1.20,27.70,51.40,79.20,100.00,1.70,16.20,38.20,69.40,99.40,0.60,26.00,55.50,75.10,98.30,48
32.00,36.10,32.00,23.30,21.20,24.00,2.70,30.60,48.30,70.70,100.00,0.70,17.70,39.50,65.30,99.30,1.40,24.50,53.70,79.60,98.00,48
37.70,26.10,36.20,19.70,27.00,19.70,0.70,25.40,47.80,74.60,100.00,5.10,18.80,49.30,65.90,98.60,1.40,26.80,51.40,75.40,99.30,48
34.00,31.40,34.60,20.60,23.20,20.60,5.80,22.40,42.30,67.90,97.40,1.90,33.30,57.10,72.40,99.40,0.60,21.20,50.60,78.20,100.00,48
29.10,43.90,27.00,22.60,15.40,24.10,3.60,26.50,50.50,78.10,99.00,1.00,23.00,48.00,71.90,100.00,0.50,25.00,48.50,72.40,99.50,48
31.00,38.90,30.00,21.80,18.80,24.30,1.50,21.70,45.80,70.00,95.10,0.50,25.10,53.70,77.80,99.50,1.00,23.60,44.80,69.50,100.00,48
31.80,31.80,36.40,25.80,22.70,25.00,3.10,25.60,46.50,64.30,99.20,5.40,21.70,56.60,77.50,100.00,0.80,23.30,45.70,71.30,95.30,48
36.70,38.70,24.70,34.20,18.80,18.10,0.70,22.00,52.70,75.30,98.00,1.30,17.30,42.00,74.70,99.30,6.70,34.70,48.00,65.30,100.00,51
33.80,34.60,31.50,22.50,23.30,17.10,0.80,22.30,50.80,76.20,96.90,3.80,23.10,38.50,80.00,100.00,1.50,31.50,49.20,67.70,98.50,51
31.20,42.70,26.10,27.00,19.80,18.30,1.20,27.70,47.80,72.30,99.20,1.60,24.10,55.30,77.90,99.60,0.40,21.30,39.90,69.20,100.00,51
32.20,40.30,27.50,25.10,16.20,21.70,2.10,22.00,46.20,74.20,100.00,0.80,28.80,54.70,73.70,99.20,0.40,21.20,41.10,75.40,97.50,51
33.70,32.80,33.40,22.80,23.10,24.00,0.30,20.40,46.20,70.70,99.40,1.80,27.50,50.60,75.10,99.70,0.60,24.90,52.10,76.90,100.00,51
35.70,26.80,37.50,19.80,28.70,21.60,1.80,23.80,50.00,77.40,100.00,0.60,24.40,49.40,72.00,95.80,1.20,22.60,46.40,73.20,99.40,51
35.60,31.40,33.00,25.70,25.10,19.80,0.50,18.60,43.60,67.00,98.90,1.10,26.10,55.90,83.00,100.00,2.70,28.70,50.00,71.30,98.40,51
33.00,38.20,28.80,24.70,18.90,25.30,0.50,21.50,52.40,77.50,98.40,1.00,25.70,48.20,72.30,100.00,3.70,24.10,45.00,73.30,97.90,51
35.40,39.50,25.20,29.50,20.50,16.40,0.70,22.40,50.30,76.90,99.30,2.70,19.00,42.90,72.10,100.00,1.40,36.70,58.50,72.80,96.60,51
34.80,34.20,31.00,24.70,22.10,22.10,0.60,23.20,41.30,69.70,100.00,1.90,17.40,47.70,74.20,99.40,1.30,31.00,59.40,76.10,97.40,51
33.60,37.80,28.70,22.50,19.70,19.70,2.80,27.30,51.70,75.50,97.90,0.70,14.00,44.80,72.00,100.00,2.10,26.60,47.60,69.20,96.50,51
35.80,30.70,33.50,20.60,21.70,22.30,2.80,17.60,45.50,68.80,98.30,0.60,27.30,58.50,79.00,98.90,1.10,25.00,46.60,66.50,100.00,51
35.50,42.10,22.30,28.30,18.30,16.70,1.70,24.80,57.90,76.90,98.30,0.80,25.60,45.50,66.10,100.00,4.10,15.70,44.60,74.40,96.70,51
30.60,34.40,34.90,18.90,24.30,22.70,2.20,28.00,47.30,67.20,98.40,0.50,17.20,43.00,66.70,98.90,1.10,31.70,58.10,78.50,100.00,54
34.70,26.00,39.30,15.40,28.20,21.00,1.50,27.60,51.50,75.50,100.00,0.50,11.20,35.20,69.90,99.50,3.10,32.10,55.10,76.50,99.00,54
33.20,30.90,35.90,17.40,27.40,24.20,2.70,26.80,48.60,71.40,97.70,0.50,12.30,44.50,70.90,99.50,2.30,28.60,53.60,75.50,100.00,54
34.90,26.50,38.60,18.80,25.50,20.00,0.60,19.30,47.00,68.10,98.20,1.20,21.10,46.40,78.30,95.20,1.80,28.30,55.40,75.90,100.00,54
40.00,23.10,36.90,14.90,31.40,15.50,2.10,25.60,50.30,74.40,99.00,0.50,15.90,39.50,70.30,96.90,1.00,27.20,51.30,76.90,100.00,54
33.50,29.20,37.30,15.60,28.90,22.30,2.40,32.10,59.40,74.50,99.10,0.50,16.50,39.60,58.00,100.00,0.90,24.50,51.90,76.40,98.10,54
36.40,27.90,35.70,18.30,30.40,17.10,0.40,25.60,51.60,75.60,99.20,0.80,23.30,46.10,71.70,100.00,1.60,25.20,50.40,73.60,98.40,54
33.30,41.60,25.10,28.90,14.70,21.60,1.40,32.00,58.00,75.80,100.00,2.70,19.20,44.70,75.30,99.10,0.50,22.80,42.50,69.90,98.20,54
36.70,29.70,33.60,21.30,23.40,19.90,0.70,28.30,52.30,76.30,99.60,0.40,18.70,36.70,63.60,100.00,1.10,25.80,57.20,78.80,98.60,54
33.60,34.00,32.50,24.00,23.60,21.00,3.00,28.00,52.60,76.90,100.00,2.60,20.50,44.40,69.00,99.60,0.40,24.60,49.30,77.20,97.40,54
35.20,32.40,32.40,20.60,28.00,22.40,3.70,23.10,41.70,72.20,99.10,0.90,26.90,59.30,77.80,100.00,1.90,16.70,46.30,75.90,98.10,57
33.30,30.50,36.20,13.50,28.80,21.20,1.00,22.90,42.90,67.60,100.00,6.70,26.70,43.80,71.40,95.20,2.90,20.00,57.10,78.10,98.10,57
31.20,35.90,32.80,30.20,23.80,23.80,6.20,25.00,43.80,73.40,96.90,1.60,17.20,42.20,65.60,100.00,4.70,32.80,53.10,71.90,98.40,57
32.90,25.90,41.20,20.20,26.20,21.40,1.20,16.50,42.40,74.10,97.60,3.50,14.10,51.80,70.60,100.00,2.40,30.60,48.20,71.80,98.80,57
36.80,25.30,37.90,23.30,29.10,18.60,1.10,19.50,42.50,72.40,98.90,6.90,23.00,60.90,75.90,89.70,3.40,24.10,46.00,66.70,100.00,57
36.60,30.60,32.80,23.60,24.70,17.60,1.60,24.60,51.90,77.00,99.50,1.10,18.60,48.60,71.60,100.00,0.50,27.30,47.00,73.20,97.80,57
36.90,26.20,36.90,22.90,27.70,21.70,2.40,14.30,40.50,70.20,94.00,1.20,17.90,44.00,71.40,95.20,9.50,33.30,52.40,79.80,100.00,57
39.00,29.90,31.20,31.60,22.40,19.70,3.90,22.10,49.40,75.30,100.00,1.30,11.70,48.10,72.70,97.40,14.30,31.20,46.80,71.40,93.50,57
38.70,30.70,30.70,25.70,25.70,25.70,4.00,21.30,44.00,69.30,98.70,1.30,18.70,52.00,76.00,100.00,2.70,24.00,45.30,74.70,97.30,57
31.60,35.30,33.20,24.30,19.00,24.30,2.60,25.30,48.40,72.10,98.40,1.10,20.00,51.10,76.80,99.50,0.50,26.80,45.80,71.10,100.00,59
32.90,33.60,33.60,24.80,15.20,22.80,5.50,30.10,54.10,83.60,97.90,3.40,18.50,41.10,74.00,100.00,0.70,26.70,49.30,67.80,93.80,59
35.40,34.10,30.50,24.40,23.60,12.90,2.20,23.00,49.10,73.90,99.10,0.90,24.80,52.20,76.50,98.20,0.40,26.50,47.30,73.00,100.00,59
35.00,29.60,35.40,17.80,23.60,22.70,0.80,24.70,52.30,74.10,99.20,2.10,22.60,47.70,74.50,99.60,0.40,25.90,48.60,73.70,100.00,59
34.60,33.70,31.70,24.90,23.70,19.20,0.40,22.40,45.50,70.30,98.80,2.40,20.70,44.30,70.70,98.40,1.60,28.90,58.10,83.30,100.00,59
32.30,29.00,38.70,22.10,26.00,20.80,1.30,30.30,47.70,71.00,99.40,1.90,22.60,45.20,69.70,96.80,0.60,20.00,54.80,79.40,100.00,59
31.00,30.30,38.70,16.90,28.60,20.80,0.60,22.60,43.20,69.00,100.00,5.80,15.50,37.40,72.30,96.80,1.90,31.00,56.80,76.80,99.40,59
32.80,29.60,37.60,18.50,20.20,25.00,0.80,25.60,53.60,76.80,100.00,5.60,21.60,40.80,65.60,99.20,1.60,22.40,48.80,74.40,95.20,59
34.70,28.50,36.80,27.60,26.60,19.80,1.00,22.80,47.70,70.50,99.00,0.50,21.20,42.50,71.00,97.90,1.60,32.10,51.30,77.70,100.00,59
35.40,34.20,30.40,28.00,22.90,22.30,1.30,20.90,43.00,69.60,99.40,0.60,19.60,51.30,73.40,98.70,4.40,28.50,53.20,77.20,100.00,59
37.30,30.90,31.80,22.60,23.70,18.40,0.60,25.40,52.30,76.50,99.40,0.20,20.30,40.20,67.40,100.00,0.40,31.10,53.40,76.90,99.60,62
35.80,32.30,31.90,25.90,22.30,21.40,0.30,22.60,46.50,72.90,98.70,1.30,25.50,53.50,71.90,99.70,1.00,23.20,47.70,77.10,100.00,62
36.70,28.20,35.00,23.50,30.40,15.70,0.70,25.50,48.30,73.10,99.70,1.40,25.20,45.20,74.10,100.00,0.30,22.40,53.40,75.20,99.30,62
31.20,47.30,21.50,28.50,13.00,20.60,0.30,24.60,45.40,70.00,99.40,0.60,21.10,49.80,75.70,100.00,1.90,30.30,57.10,77.90,97.50,62
36.60,37.00,26.40,27.70,19.30,18.60,0.80,26.80,48.70,73.60,99.60,0.40,23.80,51.70,76.20,100.00,1.10,24.20,47.90,74.00,98.10,62
33.10,36.10,30.90,24.60,22.00,20.90,0.70,25.70,51.30,75.50,100.00,1.10,22.70,54.30,74.00,99.30,0.40,23.00,46.50,72.50,95.90,62
33.70,40.30,26.00,27.00,17.40,20.80,1.10,26.00,51.50,77.70,100.00,0.20,23.20,47.80,73.00,99.40,1.50,26.40,51.10,72.50,98.90,62
30.50,44.30,25.20,24.00,17.40,20.20,0.90,21.40,45.30,77.40,100.00,0.60,28.60,52.50,70.40,99.70,0.30,19.80,49.10,82.10,99.40,62
33.50,35.00,31.50,21.40,23.80,24.10,0.90,25.80,50.40,73.30,99.70,2.70,32.30,51.60,77.20,100.00,0.30,20.80,46.60,72.70,99.40,62
35.20,35.20,29.70,20.80,22.00,20.40,2.70,25.80,53.50,75.40,100.00,0.40,22.30,43.40,69.90,98.40,0.80,29.70,54.30,75.00,99.60,62
35.90,37.90,26.10,31.60,18.40,17.80,1.30,24.80,50.30,74.50,98.00,0.70,24.20,51.60,70.60,99.30,2.00,17.00,43.10,80.40,100.00,62
29.90,33.90,36.20,19.30,22.20,27.40,1.50,22.10,46.90,73.10,99.30,1.10,27.30,49.80,74.90,96.70,0.40,23.60,51.70,74.50,100.00,69
31.80,34.40,33.80,21.40,22.00,25.30,0.70,23.90,47.20,74.80,99.00,1.60,23.60,50.50,73.10,99.70,0.30,25.60,47.50,73.40,100.00,69
29.40,32.00,38.50,19.20,20.50,27.30,1.60,21.70,46.60,74.40,99.00,0.30,26.50,55.00,77.30,99.40,0.60,21.40,46.00,72.20,100.00,69
29.70,36.30,34.00,20.70,20.70,25.90,0.90,22.70,49.70,71.50,97.10,1.70,24.70,50.60,75.60,99.70,0.30,24.10,48.30,73.80,100.00,69
35.60,31.70,32.70,26.60,24.20,20.80,1.40,21.60,42.30,73.60,100.00,3.40,27.90,53.80,77.90,99.50,0.50,26.00,48.10,71.60,97.60,69
30.40,31.70,37.90,19.50,22.10,23.40,1.00,25.20,51.50,73.10,99.40,2.90,23.60,46.60,71.80,99.70,0.30,24.30,49.20,75.40,100.00,69
33.50,29.20,37.30,20.70,26.20,20.50,0.60,28.20,50.30,74.70,99.60,0.20,20.90,44.70,73.50,97.30,0.40,25.00,50.70,74.50,100.00,69
31.60,34.10,34.30,25.70,21.40,23.60,0.50,24.90,45.70,70.50,99.50,1.40,27.30,55.70,73.20,99.70,0.30,22.20,48.40,76.20,100.00,69
30.30,32.80,37.00,24.50,23.60,21.10,0.80,23.10,47.90,74.80,99.20,0.40,24.40,50.00,70.60,100.00,1.70,26.10,51.70,78.20,98.30,69
29.60,38.30,32.10,25.00,19.10,21.90,1.20,24.90,46.10,72.60,100.00,0.60,18.70,50.20,71.70,99.40,0.30,29.90,54.50,77.30,99.10,69
32.00,33.80,34.10,22.90,22.90,20.80,0.60,23.80,50.60,79.00,99.70,0.30,25.30,44.80,69.50,99.40,1.20,24.10,53.40,75.00,100.00,69
26.80,37.50,35.70,21.80,20.00,32.70,1.80,8.90,37.50,69.60,96.40,3.60,28.60,42.90,73.20,98.20,7.10,26.80,55.40,71.40,100.00,72
21.80,38.50,39.70,20.80,18.20,32.50,23.10,32.10,61.50,80.80,97.40,7.70,24.40,48.70,65.40,100.00,1.30,14.10,41.00,71.80,96.20,72
31.60,27.60,40.80,16.00,30.70,22.70,1.30,17.10,47.40,77.60,96.10,9.20,18.40,46.10,69.70,100.00,2.60,31.60,51.30,71.10,97.40,72
28.90,38.10,33.00,17.70,17.70,25.00,2.10,35.10,55.70,84.50,99.00,1.00,16.50,42.30,60.80,94.80,6.20,27.80,51.50,77.30,100.00,72
33.70,29.60,36.70,23.70,23.70,19.60,3.10,26.50,51.00,76.50,99.00,1.00,29.60,45.90,75.50,100.00,4.10,19.40,42.90,69.40,95.90,72
37.70,31.10,31.10,21.00,23.80,20.00,2.80,26.40,49.10,80.20,100.00,0.90,24.50,40.60,59.40,96.20,1.90,17.90,54.70,74.50,99.10,72
31.70,28.70,39.60,19.00,38.00,19.00,1.00,21.80,43.60,70.30,99.00,2.00,18.80,52.50,68.30,97.00,5.90,27.70,51.50,79.20,100.00,72
38.20,40.00,21.80,33.30,18.50,22.20,3.60,16.40,41.80,69.10,96.40,1.80,23.60,49.10,76.40,100.00,9.10,27.30,45.50,63.60,98.20,87
34.40,25.00,40.60,19.00,31.70,14.30,6.20,18.80,42.20,73.40,95.30,1.60,32.80,40.60,65.60,85.90,3.10,15.60,57.80,75.00,100.00,87
34.00,28.00,38.00,24.20,29.30,17.20,1.00,25.00,46.00,71.00,99.00,2.00,26.00,50.00,79.00,100.00,3.00,19.00,52.00,70.00,96.00,87
32.10,18.50,49.40,8.80,41.20,18.80,8.60,28.40,56.80,79.00,97.50,3.70,11.10,39.50,59.30,77.80,1.20,22.20,44.40,74.10,100.00,87
33.60,31.50,35.00,22.50,21.10,26.10,1.40,23.80,46.20,71.30,99.30,0.70,24.50,54.50,70.60,98.60,2.10,22.40,53.80,77.60,100.00,87
28.90,33.00,38.10,25.00,17.70,27.10,1.00,21.60,42.30,63.90,93.80,2.10,19.60,52.60,76.30,99.00,5.20,28.90,50.50,71.10,100.00,87
37.60,25.90,36.50,20.20,25.00,23.80,8.20,30.60,47.10,75.30,95.30,1.20,31.80,58.80,74.10,98.80,2.40,16.50,36.50,65.90,100.00,87
31.80,34.10,34.10,23.80,22.60,10.70,2.40,17.60,42.40,76.50,100.00,1.20,37.60,55.30,81.20,96.50,12.90,25.90,35.30,58.80,98.80,87
36.10,36.10,27.90,28.10,23.10,18.20,0.80,35.20,59.00,77.90,100.00,1.60,21.30,34.40,70.50,99.20,5.70,24.60,50.80,68.90,98.40,87
35.20,34.40,30.40,27.40,19.40,21.00,4.80,22.40,54.40,76.00,99.20,2.40,27.20,40.80,69.60,97.60,0.80,16.80,51.20,79.20,100.00,87
31.60,33.70,34.70,21.60,26.80,24.70,6.10,20.40,38.80,69.40,100.00,1.00,26.50,49.00,71.40,96.90,4.10,27.60,53.10,77.60,99.00,87
38.10,16.50,45.40,15.60,38.50,15.60,1.00,21.60,49.50,69.10,100.00,12.40,29.90,50.50,59.80,99.00,2.10,23.70,47.40,76.30,97.90,87
38.20,27.00,34.80,17.00,26.10,28.40,1.10,19.10,49.40,78.70,100.00,5.60,25.80,46.10,65.20,91.00,4.50,27.00,47.20,84.30,97.80,87
33.30,36.10,30.60,22.90,14.30,28.60,13.90,27.80,58.30,72.20,100.00,5.60,25.00,50.00,77.80,94.40,2.80,8.30,30.60,41.70,83.30,110
37.50,33.30,29.20,29.80,25.50,19.10,8.30,25.00,56.20,75.00,97.90,12.50,31.20,50.00,77.10,100.00,2.10,6.20,37.50,54.20,89.60,110
33.80,35.40,30.80,31.20,14.10,25.00,6.20,21.50,58.50,70.80,100.00,4.60,30.80,56.90,83.10,98.50,1.50,15.40,35.40,50.80,96.90,110
37.50,28.10,34.40,19.00,27.00,22.20,1.60,18.80,40.60,71.90,98.40,6.20,31.20,60.90,70.30,95.30,3.10,17.20,43.80,78.10,100.00,110
35.10,27.00,35.10,19.40,27.80,16.70,5.40,18.90,43.20,75.70,97.30,8.10,16.20,27.00,62.20,100.00,10.80,32.40,56.80,73.00,91.90,110
48.40,19.40,32.30,26.70,40.00,10.00,6.50,16.10,38.70,67.70,93.50,3.20,3.20,45.20,51.60,74.20,12.90,19.40,64.50,80.60,100.00,110
38.90,27.80,33.30,17.10,20.00,22.90,2.80,8.30,44.40,77.80,97.20,11.10,19.40,58.30,66.70,86.10,25.00,30.60,47.20,69.40,100.00,110
35.10,29.70,35.10,16.70,44.40,11.10,5.40,16.20,40.50,67.60,94.60,2.70,24.30,32.40,59.50,100.00,8.10,18.90,51.40,73.00,91.90,110
35.00,37.50,27.50,17.90,17.90,20.50,7.50,15.00,52.50,75.00,95.00,2.50,17.50,35.00,60.00,85.00,10.00,30.00,57.50,77.50,100.00,110
31.90,27.70,40.40,15.20,30.40,15.20,4.30,21.30,48.90,80.90,100.00,14.90,19.10,34.00,63.80,78.70,2.10,12.80,46.80,74.50,97.90,110
36.10,47.20,16.70,31.40,17.10,17.10,13.90,30.60,52.80,77.80,100.00,2.80,25.00,41.70,58.30,91.70,5.60,5.60,19.40,72.20,94.40,110
38.50,25.60,35.90,18.40,28.90,26.30,5.10,10.30,33.30,71.80,92.30,2.60,23.10,51.30,76.90,97.40,12.80,20.50,48.70,64.10,100.00,110
39.10,32.60,28.30,37.80,17.80,20.00,10.90,23.90,41.30,69.60,100.00,6.50,15.20,47.80,71.70,89.10,2.20,8.70,45.70,63.00,97.80,110
33.30,30.60,36.10,22.90,28.60,25.70,19.40,30.60,58.30,83.30,97.20,2.80,8.30,33.30,50.00,94.40,5.60,25.00,55.60,75.00,100.00,110
