@relation H-train

@attribute H1 real
@attribute H2 real
@attribute H3 real
@attribute H4 real
@attribute H5 real
@attribute H6 real
@attribute H7 real
@attribute H8 real
@attribute H9 real
@attribute H10 real
@attribute H11 real
@attribute H12 real
@attribute H13 real
@attribute H14 real      
@attribute H15 real      
@attribute H16 real
@attribute H17 real
@attribute H18 real
@attribute H19 real
@attribute H20 real
@attribute H21 real
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data
32.40,40.50,27.20,28.50,18.00,20.30,0.60,22.00,54.90,72.30,100.00,1.70,24.90,44.50,71.10,97.70,1.20,24.30,53.80,75.70,99.40,39
28.70,39.60,31.70,20.90,20.90,24.50,2.40,25.60,48.80,75.60,99.40,0.60,29.90,50.00,72.00,100.00,1.20,22.00,47.60,70.70,96.30,39
40.10,29.30,30.60,22.40,23.10,18.60,0.60,21.00,46.50,77.70,99.40,1.90,22.90,51.60,70.70,98.10,6.40,26.80,44.60,74.50,100.00,39
41.20,28.20,30.50,17.70,30.80,18.50,2.30,20.60,43.50,74.80,100.00,0.80,29.80,54.20,69.50,94.70,1.50,22.90,47.30,71.00,97.70,39
35.10,31.30,33.60,20.00,26.20,23.80,1.50,28.20,55.00,76.30,99.20,2.30,22.10,42.70,68.70,100.00,0.80,20.60,47.30,70.20,96.90,39
31.30,43.50,25.20,27.70,16.90,21.50,3.80,21.40,45.00,74.00,99.20,0.80,29.00,45.80,73.30,100.00,2.30,18.30,52.70,71.00,94.70,39
38.00,29.20,32.80,22.80,29.40,17.60,1.50,27.70,52.60,71.50,100.00,0.70,27.00,43.80,76.60,97.80,2.20,19.00,47.40,72.30,98.50,39
34.40,36.00,29.60,28.20,25.00,21.80,1.60,19.20,44.00,69.60,99.20,2.40,24.00,53.60,72.00,94.40,0.80,22.40,50.40,76.80,100.00,39
31.60,41.50,26.90,25.10,18.30,24.60,0.30,26.90,52.50,77.30,100.00,0.50,24.80,45.40,72.10,99.70,1.60,21.90,52.20,73.10,99.50,46
28.30,43.30,28.30,22.20,15.30,23.90,1.40,26.30,51.00,76.50,97.70,0.30,21.50,47.30,75.10,100.00,1.70,29.20,51.60,73.10,98.90,46
31.10,37.10,31.80,20.70,23.20,21.20,0.20,21.90,51.20,74.90,100.00,0.50,26.10,45.30,70.90,96.00,3.20,24.60,52.20,78.40,99.80,46
33.10,40.60,26.30,25.00,20.80,17.70,0.30,25.80,49.30,72.50,98.90,0.80,22.70,47.10,76.50,99.70,2.80,23.20,53.80,74.80,100.00,46
29.80,40.50,29.80,26.10,21.20,20.30,0.30,26.30,47.70,68.80,99.10,1.70,23.40,50.60,76.90,99.70,0.60,23.70,50.00,76.00,100.00,46
32.90,35.50,31.60,24.90,23.50,21.50,0.40,26.10,51.60,75.30,100.00,0.20,29.20,50.80,74.70,99.00,0.60,17.60,43.50,73.30,99.80,46
26.50,47.10,26.50,19.70,15.70,24.90,3.30,24.20,49.30,81.00,99.70,0.70,28.80,52.30,75.80,98.70,0.30,17.60,43.50,68.60,100.00,46
32.20,40.30,27.50,25.60,18.60,23.80,2.00,29.60,52.20,75.70,99.10,0.30,21.70,44.90,73.90,100.00,0.60,23.50,56.20,72.80,99.70,46
34.60,34.90,30.40,25.30,20.50,21.20,0.70,26.60,52.60,71.60,98.60,0.30,18.00,46.00,74.70,100.00,1.40,27.00,50.90,79.60,99.30,46
30.50,42.80,26.70,27.80,16.50,20.40,1.10,20.40,40.70,73.70,99.60,0.40,34.00,57.90,74.40,98.90,2.10,19.30,42.10,74.70,100.00,46
31.70,38.20,30.10,21.80,21.10,23.70,0.60,24.60,50.20,71.20,98.40,0.30,23.00,49.50,78.30,100.00,1.90,24.30,48.90,70.20,99.40,46
34.40,35.00,30.70,22.40,22.10,24.40,1.40,28.10,52.40,81.40,100.00,0.30,22.90,52.70,73.10,99.70,1.10,21.80,43.60,71.30,98.60,46
25.50,44.70,29.90,22.10,17.40,29.20,0.80,29.40,56.40,78.40,99.00,0.30,21.30,43.40,73.20,99.20,0.50,24.20,49.40,76.40,100.00,46
32.50,40.30,27.20,25.90,15.30,23.10,1.40,19.70,43.10,68.10,99.20,0.30,26.10,58.30,78.90,100.00,1.10,26.70,47.20,70.80,98.60,46
32.40,34.00,33.70,19.40,23.20,24.20,1.00,22.20,50.80,74.30,99.70,0.30,26.00,50.50,73.30,99.00,1.30,23.80,48.30,74.90,100.00,46
30.10,42.70,27.30,28.20,16.90,25.40,2.80,21.70,48.30,70.60,97.90,0.70,24.50,51.00,79.70,100.00,1.40,23.10,47.60,65.70,95.10,46
28.20,39.60,32.20,19.00,20.80,30.10,1.30,22.90,42.30,66.10,98.70,0.40,21.60,52.90,75.80,99.10,0.90,26.90,54.60,76.70,100.00,46
29.90,38.90,31.10,16.00,21.80,32.50,1.20,19.30,41.00,63.10,99.20,0.40,25.80,57.80,76.20,100.00,0.80,26.60,51.20,75.80,99.60,46
33.80,38.60,27.60,27.60,16.80,20.90,1.00,25.60,47.40,75.90,100.00,0.30,22.60,51.40,73.40,99.00,0.50,23.80,49.60,74.20,99.20,46
27.70,39.10,33.10,18.10,20.10,27.80,0.60,19.40,47.10,74.60,100.00,1.10,26.00,46.30,72.60,99.10,0.30,23.70,53.10,77.40,99.70,46
32.40,40.90,26.80,28.00,21.20,21.20,0.60,23.50,48.20,74.10,100.00,0.30,22.10,46.50,70.60,99.70,2.40,26.20,52.90,75.90,98.20,46
32.10,36.10,31.70,21.10,17.90,25.10,0.80,21.80,50.40,73.40,99.60,1.20,23.80,48.00,78.60,98.40,0.40,27.00,49.60,74.60,100.00,46
27.00,40.70,32.30,16.60,19.00,25.90,0.80,16.90,46.00,67.70,99.20,1.60,28.20,56.00,78.20,100.00,0.40,24.60,46.40,71.00,98.80,46
26.90,44.20,28.80,26.20,20.40,25.20,1.90,21.20,49.00,74.00,99.00,2.90,27.90,53.80,77.90,100.00,1.00,18.30,44.20,61.50,96.20,46
30.30,37.50,32.20,20.10,17.60,28.80,0.60,19.40,48.40,68.80,99.10,0.90,26.90,47.50,73.80,97.20,0.30,27.50,52.20,75.00,100.00,46
27.00,45.30,27.70,24.80,13.20,27.70,1.60,24.40,46.30,75.90,98.70,0.30,29.60,51.40,73.00,99.70,1.30,17.00,45.70,74.00,100.00,46
30.60,38.80,30.60,24.20,18.00,23.80,0.40,21.60,51.80,73.10,99.60,2.40,26.10,48.60,78.00,100.00,1.20,22.90,48.20,73.90,98.40,46
30.00,41.50,28.50,26.00,18.10,25.00,0.50,28.00,51.70,75.80,100.00,0.80,22.60,49.10,74.30,99.70,0.30,23.20,49.40,70.50,99.20,46
36.00,32.00,32.00,24.20,22.90,19.80,1.30,26.80,55.70,82.90,100.00,0.90,21.90,39.00,67.50,98.70,0.40,20.60,46.90,76.30,99.60,46
29.50,41.00,29.50,27.70,18.10,23.20,0.60,21.20,53.80,73.10,99.40,2.60,25.00,47.40,78.20,100.00,1.30,27.60,50.60,69.20,97.40,47
28.10,43.00,28.90,24.10,15.40,27.60,1.10,25.70,47.00,71.90,99.70,0.30,25.40,50.80,73.50,99.50,0.50,21.90,50.30,79.20,100.00,47
31.50,38.40,30.10,24.70,19.40,24.00,0.70,23.50,46.70,74.70,100.00,1.00,27.70,54.30,74.40,99.70,0.30,19.00,48.10,73.40,99.00,47
27.00,46.30,26.70,26.80,14.30,24.60,0.90,25.50,46.60,70.80,98.40,0.30,23.90,48.40,73.90,99.70,0.60,23.00,56.80,78.30,100.00,47
27.40,46.30,26.30,24.30,19.00,17.50,2.10,30.00,47.90,70.00,98.90,0.50,18.90,54.20,77.40,99.50,4.20,25.80,46.80,73.20,100.00,47
28.80,42.50,28.80,24.70,16.70,25.10,0.80,30.80,53.80,76.70,100.00,0.40,19.20,47.50,71.20,99.60,2.50,23.80,49.60,73.30,96.70,47
34.20,37.60,28.20,33.60,19.00,17.20,0.90,28.20,54.70,71.80,94.00,1.70,23.90,44.40,76.90,100.00,4.30,21.40,47.90,68.40,99.10,47
26.20,43.70,30.10,22.40,16.70,25.40,0.90,26.60,51.50,74.20,100.00,0.40,24.00,49.30,74.70,98.70,1.70,23.60,47.60,72.90,99.60,47
31.90,32.80,35.30,16.10,24.60,24.60,4.20,30.30,57.10,78.20,95.00,0.80,19.30,38.70,70.60,100.00,3.40,23.50,45.40,68.90,99.20,47
27.40,45.20,27.40,25.40,16.20,21.60,1.60,28.00,47.30,69.40,100.00,0.50,21.50,48.40,76.90,98.90,2.70,23.70,53.80,73.70,97.80,47
28.40,44.70,27.00,23.60,19.30,17.90,2.80,19.90,53.20,73.80,97.20,0.70,23.40,41.80,68.80,100.00,7.10,27.00,56.70,80.90,98.60,47
34.40,31.20,34.40,15.00,27.60,18.90,1.60,19.50,35.90,71.10,97.70,0.80,38.30,60.90,78.90,99.20,3.90,18.80,46.10,66.40,100.00,48
28.20,37.10,34.70,17.10,17.90,26.80,1.60,16.90,49.20,77.40,100.00,3.20,25.80,51.60,75.00,98.40,0.80,15.30,44.40,64.50,96.00,48
25.10,47.30,27.50,24.70,13.90,27.10,0.60,25.10,47.90,73.10,100.00,1.80,22.20,53.30,74.90,98.20,1.20,21.00,43.70,68.90,99.40,48
28.50,35.40,36.10,21.00,25.90,24.50,2.10,28.50,47.20,75.70,100.00,0.70,19.40,43.80,78.50,99.30,2.80,22.20,50.00,68.80,97.90,48
32.90,37.60,29.50,28.50,18.60,23.80,0.60,26.00,54.30,75.10,98.30,1.70,17.90,39.30,69.40,99.40,1.20,24.90,50.30,82.10,100.00,48
31.30,40.10,28.60,26.70,18.50,21.90,1.40,24.50,53.70,76.90,98.00,0.70,15.00,39.50,67.30,99.30,2.70,33.30,49.70,72.80,100.00,48
36.20,28.30,35.50,19.70,27.00,18.20,1.40,26.80,51.40,75.40,99.30,3.60,15.90,49.30,65.90,98.60,0.70,25.40,44.20,71.70,100.00,48
32.70,35.90,31.40,23.20,19.40,21.90,0.60,21.20,48.70,78.20,100.00,1.90,33.30,60.30,74.40,99.40,5.80,20.50,40.40,59.00,97.40,48
26.50,47.40,26.00,24.60,13.80,19.00,0.50,25.00,48.50,72.40,99.50,1.00,23.50,49.00,73.50,100.00,3.60,24.00,50.00,78.60,99.00,48
28.10,45.80,26.10,25.20,15.80,19.80,1.00,23.60,44.80,69.50,100.00,0.50,23.20,51.70,77.30,99.50,1.50,24.60,45.80,67.50,91.10,48
33.30,37.20,29.50,23.40,21.10,22.70,0.80,23.30,45.00,69.00,95.30,5.40,21.70,58.10,78.30,100.00,3.10,25.60,46.50,64.30,99.20,48
24.70,40.70,34.70,19.50,17.40,31.50,6.70,34.70,48.00,65.30,100.00,1.30,17.30,42.00,74.00,99.30,0.70,22.70,54.70,76.70,98.00,51
30.80,38.50,30.80,19.40,19.40,25.60,1.50,32.30,50.00,68.50,98.50,0.80,21.50,39.20,80.00,100.00,2.30,22.30,50.80,76.20,96.90,51
25.30,46.20,28.50,19.80,17.50,25.40,0.40,21.30,39.90,69.20,100.00,1.60,24.10,55.70,77.90,99.60,1.20,27.70,46.60,69.60,99.20,51
25.80,43.20,30.90,22.60,14.50,26.00,0.40,19.90,39.80,75.40,97.50,0.80,31.40,55.50,73.70,99.60,2.10,22.00,44.50,73.30,100.00,51
29.60,40.80,29.60,24.90,17.50,25.50,0.60,27.20,52.10,79.00,100.00,1.80,27.50,52.40,75.40,99.70,0.30,19.20,45.90,70.70,97.00,51
35.10,32.70,32.10,25.10,22.80,21.00,1.20,21.40,46.40,73.20,99.40,0.60,24.40,47.60,72.60,95.80,1.80,23.80,51.80,76.80,100.00,51
26.60,41.50,31.90,20.90,17.60,28.90,2.70,32.40,51.10,72.90,95.70,1.10,25.50,52.10,81.40,100.00,0.50,18.60,43.60,66.50,98.90,51
27.20,43.50,29.30,27.40,15.80,24.70,3.70,24.10,45.00,73.30,94.80,1.00,27.70,49.20,73.80,100.00,0.50,20.90,52.40,75.40,98.40,51
24.50,41.50,34.00,17.10,18.50,31.50,1.40,38.10,59.20,75.50,96.60,2.70,21.10,40.80,72.10,100.00,0.70,21.80,50.30,74.10,99.30,51
31.00,36.10,32.90,23.40,20.80,22.10,1.30,31.00,59.40,76.10,97.40,1.90,17.40,49.70,75.50,99.40,0.60,23.20,40.00,69.70,100.00,51
27.30,40.60,32.20,19.00,19.00,24.60,2.10,25.90,47.60,69.20,96.50,0.70,14.70,44.80,76.20,100.00,2.80,23.80,51.70,74.10,97.90,51
31.80,33.50,34.70,22.30,19.40,20.60,1.10,25.60,48.30,66.50,100.00,0.60,27.30,58.50,79.00,98.90,2.80,17.60,42.00,68.20,98.30,51
20.70,45.50,33.90,15.00,16.70,30.00,4.10,15.70,47.10,74.40,96.70,0.80,24.80,42.10,62.00,100.00,1.70,28.10,57.90,76.90,98.30,51
34.40,38.20,27.40,25.40,21.60,16.20,1.10,31.70,58.10,78.50,100.00,0.50,17.20,42.50,72.00,98.90,2.20,28.00,51.10,67.20,98.40,54
38.30,29.10,32.70,24.10,25.10,16.40,3.10,32.10,55.60,77.00,99.00,0.50,16.30,35.20,69.90,99.50,1.50,29.10,51.50,74.00,100.00,54
33.60,36.40,30.00,27.90,21.90,19.20,2.30,30.50,55.00,75.50,100.00,0.50,16.40,47.30,75.90,99.50,2.70,24.50,45.90,67.70,97.70,54
36.70,33.70,29.50,27.30,18.80,18.20,1.80,28.30,54.80,74.10,99.40,1.20,21.10,46.40,80.70,100.00,0.60,17.50,47.00,67.50,98.20,54
33.30,29.70,36.90,19.60,24.20,19.10,1.00,25.10,51.30,76.90,100.00,0.50,18.50,49.70,72.30,96.90,2.10,24.60,47.20,69.70,99.00,54
33.00,36.80,30.20,24.20,22.30,18.50,0.90,25.90,55.70,78.30,98.10,0.50,17.00,39.20,58.00,100.00,2.40,32.10,60.40,74.50,99.10,54
33.70,33.70,32.60,21.00,25.70,19.10,1.60,27.50,50.80,74.00,98.40,0.80,17.80,45.70,71.70,100.00,0.40,26.40,50.00,77.10,99.20,54
23.30,46.60,30.10,23.90,11.50,28.40,0.50,21.50,41.10,67.10,98.20,1.40,19.20,44.70,75.30,99.10,1.80,37.90,60.30,75.80,100.00,54
32.90,33.60,33.60,22.00,19.90,22.00,1.10,26.10,57.20,78.80,98.60,0.40,18.70,39.90,63.60,100.00,0.70,26.50,51.90,76.30,99.60,54
32.10,36.90,31.00,21.00,23.60,23.60,0.40,24.60,51.10,77.20,97.40,2.60,23.50,44.80,70.50,100.00,3.00,27.20,51.90,74.60,98.90,54
31.50,35.20,33.30,25.20,23.40,21.50,1.90,18.50,48.10,75.90,98.10,0.90,26.90,59.30,71.30,100.00,3.70,23.10,38.90,73.10,99.10,57
35.20,32.40,32.40,21.20,26.90,13.50,2.90,20.00,57.10,78.10,98.10,6.70,26.70,43.80,70.50,95.20,1.00,22.90,42.90,67.60,100.00,57
32.80,37.50,29.70,27.00,20.60,30.20,4.70,32.80,53.10,71.90,98.40,1.60,20.30,48.40,79.70,100.00,6.20,21.90,40.60,68.80,96.90,57
40.00,31.80,28.20,26.20,21.40,20.20,2.40,30.60,48.20,67.10,98.80,3.50,15.30,49.40,80.00,100.00,1.20,16.50,44.70,74.10,97.60,57
35.60,31.00,33.30,20.90,24.40,25.60,3.40,24.10,46.00,66.70,100.00,5.70,17.20,56.30,80.50,97.70,1.10,26.40,42.50,70.10,98.90,57
31.70,33.90,34.40,18.10,23.10,23.10,0.50,26.80,47.00,73.20,97.80,1.10,18.60,48.10,69.90,100.00,1.60,26.20,52.50,77.00,99.50,57
33.30,38.10,28.60,27.70,20.50,20.50,9.50,34.50,52.40,76.20,97.60,1.20,26.20,44.00,77.40,100.00,2.40,14.30,53.60,70.20,94.00,57
29.90,36.40,33.80,22.40,19.70,32.90,14.30,29.90,40.30,70.10,93.50,1.30,11.70,50.60,79.20,100.00,6.50,24.70,49.40,68.80,98.70,57
26.70,38.70,34.70,25.70,20.30,28.40,2.70,34.70,49.30,74.70,97.30,1.30,16.00,48.00,68.00,100.00,6.70,22.70,46.70,70.70,98.70,57
32.10,40.00,27.90,25.90,17.50,22.80,0.50,28.40,49.50,71.10,100.00,1.10,20.50,52.10,76.80,99.50,2.60,25.30,47.40,70.00,98.40,59
30.10,40.40,29.50,24.80,13.10,26.90,0.70,25.30,46.60,68.50,93.80,3.40,21.90,47.30,74.00,100.00,5.50,24.00,52.10,81.50,97.30,59
28.80,40.70,30.50,16.00,19.60,24.00,0.40,27.00,47.30,73.00,100.00,0.90,23.00,52.20,76.50,99.60,2.20,23.90,49.10,73.90,99.10,59
32.90,35.00,32.10,26.40,19.80,20.70,0.40,26.70,48.60,74.90,100.00,0.80,22.20,47.70,73.30,99.60,1.20,24.70,52.70,77.00,99.20,59
30.50,39.40,30.10,22.40,20.00,23.70,1.60,27.60,56.90,83.30,99.60,2.40,22.80,44.30,70.70,100.00,0.40,22.00,48.00,70.30,98.80,59
36.10,37.40,26.50,25.30,21.40,21.40,0.60,18.70,54.80,76.80,100.00,1.90,23.20,42.60,69.70,96.80,1.30,28.40,48.40,73.50,99.40,59
35.50,36.80,27.70,23.40,24.70,15.60,1.90,29.00,56.10,75.50,99.40,5.80,19.40,43.90,73.50,97.40,0.60,22.60,43.20,69.00,100.00,59
37.60,34.40,28.00,26.60,18.50,22.60,1.60,22.40,48.80,74.40,95.20,0.80,19.20,40.80,65.60,99.20,2.40,32.00,55.20,79.20,100.00,59
34.70,34.70,30.60,25.50,21.90,28.10,1.60,26.40,50.30,77.70,100.00,0.50,23.30,46.10,71.00,97.90,3.10,22.80,47.70,72.50,99.00,59
28.50,39.20,32.30,23.60,19.10,29.30,4.40,27.20,50.00,74.10,100.00,0.60,19.60,51.30,75.30,98.70,1.30,20.90,43.70,70.30,99.40,59
29.50,36.40,34.10,20.10,19.70,24.70,0.40,30.30,52.50,75.00,99.60,0.20,22.00,42.20,70.50,100.00,0.60,26.70,52.70,76.10,99.40,62
30.30,37.40,32.30,23.30,18.40,25.90,1.00,24.50,49.70,75.80,100.00,1.30,22.90,52.30,70.30,99.70,0.30,26.80,47.10,75.50,98.70,62
30.60,35.40,34.00,17.70,23.50,29.00,0.30,24.50,54.40,79.60,99.30,1.40,23.50,45.20,73.80,100.00,0.70,25.50,48.60,73.10,99.70,62
21.10,50.50,28.40,21.80,11.70,27.20,1.90,26.80,55.20,77.90,97.50,0.60,21.80,50.20,75.70,100.00,0.30,23.00,45.40,69.70,99.40,62
24.20,44.90,30.90,20.50,14.40,28.80,1.10,24.20,47.20,72.80,98.10,0.40,23.80,50.90,76.20,100.00,0.80,26.80,50.60,75.80,99.60,62
28.60,42.00,29.40,20.50,19.40,24.30,0.40,21.20,43.90,68.00,94.40,1.10,23.80,55.00,75.80,99.30,0.70,25.70,47.60,75.50,100.00,62
25.10,44.90,30.00,22.90,13.90,26.10,1.50,25.70,51.10,71.90,98.90,0.20,24.50,50.40,74.90,99.40,1.10,24.90,48.50,76.60,100.00,62
22.30,50.30,27.40,20.20,14.20,25.20,0.30,19.50,49.10,81.80,99.40,0.60,26.70,50.90,70.40,99.70,3.10,25.20,46.50,79.20,100.00,62
28.80,41.20,30.00,23.50,19.60,22.00,0.30,20.50,43.30,72.70,99.40,1.50,32.60,51.60,79.50,100.00,0.90,25.50,45.70,70.60,99.70,62
26.20,45.70,28.10,22.70,16.50,20.80,2.00,27.30,50.00,73.80,99.60,0.40,23.40,46.90,72.30,98.40,2.70,25.00,53.10,77.00,100.00,62
22.90,48.40,28.80,23.70,9.90,33.60,2.00,13.10,43.10,75.20,100.00,0.70,22.20,49.70,70.60,99.30,3.30,34.60,51.00,77.80,98.00,62
35.10,36.20,28.80,27.40,20.70,19.30,0.40,21.80,51.30,76.00,100.00,1.10,27.30,49.80,73.80,96.70,1.50,22.10,47.60,73.10,99.30,69
32.80,37.40,29.80,27.00,19.70,22.40,0.30,25.60,46.90,73.40,100.00,1.60,25.20,52.80,75.10,99.70,0.70,20.70,45.60,74.10,99.00,69
37.50,35.60,26.90,28.60,18.50,19.80,0.60,21.40,46.00,72.20,100.00,0.30,27.80,51.50,75.70,99.40,1.60,21.70,47.20,75.10,99.00,69
32.80,41.30,25.90,28.60,16.30,21.00,0.30,24.10,48.30,73.80,100.00,1.70,24.70,50.60,74.70,99.70,0.90,22.70,49.70,71.50,97.10,69
31.20,34.60,34.10,20.80,21.30,27.50,0.50,26.90,48.60,71.60,97.60,3.40,23.60,52.90,77.40,99.50,1.40,21.60,41.80,75.00,100.00,69
35.90,37.50,26.50,26.60,17.50,20.10,0.30,24.30,50.50,75.70,100.00,2.90,23.00,46.30,76.10,99.70,1.00,26.50,52.40,72.20,99.40,69
35.20,36.80,28.00,22.70,22.70,20.70,0.40,26.50,51.30,74.50,99.80,0.20,22.20,47.20,77.20,100.00,0.60,26.30,48.70,73.70,99.60,69
33.50,38.90,27.60,27.10,17.90,23.80,0.30,23.20,48.60,77.60,100.00,1.40,26.80,51.40,73.00,99.70,0.50,24.10,48.10,70.80,99.50,69
36.60,36.60,26.90,23.60,21.10,23.60,1.70,25.20,51.30,78.20,98.30,0.40,25.60,50.80,73.50,100.00,0.80,21.80,44.50,71.40,98.70,69
31.80,42.40,25.90,24.10,16.90,23.80,0.30,29.90,54.50,76.90,99.10,0.60,20.20,50.80,72.00,100.00,1.20,24.90,44.90,72.60,99.70,69
32.00,39.60,28.40,22.30,19.00,23.20,1.20,21.60,52.70,73.80,100.00,0.30,25.60,46.60,70.40,99.40,0.60,23.50,49.40,79.00,99.70,69
35.70,42.90,21.40,38.20,14.50,16.40,7.10,26.80,55.40,71.40,100.00,3.60,28.60,44.60,78.60,98.20,1.80,10.70,37.50,69.60,96.40,72
39.70,43.60,16.70,33.80,16.90,11.70,1.30,14.10,41.00,71.80,96.20,7.70,28.20,55.10,67.90,100.00,23.10,30.80,46.20,80.80,97.40,72
39.50,30.30,30.30,25.30,25.30,18.70,2.60,31.60,51.30,68.40,97.40,9.20,18.40,48.70,75.00,100.00,1.30,10.50,39.50,73.70,96.10,72
32.00,39.20,28.90,27.10,17.70,17.70,6.20,21.60,45.40,77.30,100.00,1.00,16.50,47.40,61.90,94.80,2.10,35.10,55.70,84.50,99.00,72
34.70,34.70,30.60,19.60,21.60,21.60,4.10,15.30,36.70,68.40,95.90,1.00,29.60,48.00,82.70,100.00,5.10,26.50,51.00,72.40,99.00,72
29.20,35.80,34.90,21.00,21.00,27.60,1.90,17.90,55.70,76.40,99.10,0.90,20.80,40.60,58.50,96.20,2.80,26.40,52.80,80.20,100.00,72
36.60,36.60,26.70,24.00,31.00,22.00,5.90,27.70,54.50,79.20,100.00,2.00,21.80,50.50,68.30,97.00,1.00,12.90,37.60,64.40,99.00,72
21.80,43.60,34.50,24.10,16.70,35.20,9.10,27.30,45.50,63.60,98.20,1.80,23.60,49.10,76.40,100.00,5.50,16.40,41.80,72.70,96.40,87
39.10,29.70,31.20,14.30,28.60,25.40,3.10,15.60,51.60,71.90,100.00,1.60,25.00,40.60,65.60,93.80,6.20,21.90,42.20,79.70,95.30,87
36.00,32.00,32.00,20.20,26.30,25.30,4.00,24.00,55.00,72.00,96.00,2.00,23.00,50.00,79.00,100.00,1.00,25.00,44.00,66.00,99.00,87
43.20,25.90,30.90,20.00,36.20,11.20,6.20,23.50,48.10,80.20,100.00,1.20,7.40,38.30,59.30,92.60,8.60,28.40,53.10,76.50,97.50,87
32.20,37.10,30.80,26.80,17.60,23.20,2.10,20.30,53.80,73.40,100.00,0.70,29.40,56.60,76.20,99.30,1.40,21.70,45.50,61.50,95.80,87
37.10,38.10,24.70,30.20,14.60,24.00,5.20,28.90,50.50,71.10,100.00,2.10,17.50,40.20,75.30,99.00,1.00,25.80,46.40,74.20,93.80,87
35.30,31.80,32.90,25.00,23.80,23.80,2.40,17.60,40.00,65.90,100.00,1.20,28.20,56.50,77.60,98.80,8.20,32.90,47.10,67.10,94.10,87
30.60,40.00,29.40,20.20,17.90,26.20,12.90,24.70,47.10,58.80,98.80,1.20,28.20,50.60,78.80,96.50,2.40,17.60,44.70,76.50,100.00,87
27.90,43.40,28.70,23.10,18.20,26.40,5.70,24.60,50.80,68.90,98.40,1.60,20.50,36.90,63.90,99.20,0.80,35.20,61.50,80.30,100.00,87
28.00,44.00,28.00,25.00,13.70,28.20,0.80,12.00,51.20,79.20,100.00,2.40,27.20,40.80,72.00,97.60,5.60,20.00,54.40,74.40,99.20,87
34.70,37.80,27.60,28.90,22.70,20.60,4.10,27.60,53.10,77.60,99.00,1.00,25.50,49.00,72.40,100.00,6.10,20.40,38.80,66.30,98.00,87
45.40,21.60,33.00,19.80,34.40,13.50,2.10,23.70,47.40,76.30,97.90,4.10,29.90,50.50,59.80,99.00,1.00,21.60,49.50,77.30,100.00,87
33.70,31.50,34.80,31.80,22.70,15.90,4.50,27.00,47.20,75.30,97.80,5.60,25.80,51.70,69.70,91.00,1.10,12.40,48.30,78.70,100.00,87
25.00,44.40,30.60,25.70,14.30,22.90,8.30,19.40,30.60,41.70,83.30,2.80,25.00,50.00,80.60,97.20,13.90,16.70,55.60,69.40,100.00,110
29.20,35.40,35.40,21.30,23.40,27.70,2.10,6.20,37.50,54.20,89.60,12.50,27.10,45.80,66.70,100.00,8.30,29.20,56.20,75.00,97.90,110
30.80,44.60,24.60,26.60,12.50,23.40,1.50,15.40,35.40,50.80,96.90,4.60,30.80,58.50,80.00,98.50,7.70,24.60,44.60,72.30,100.00,110
31.20,42.20,26.60,25.40,22.20,23.80,3.10,17.20,39.10,68.80,96.90,6.20,31.20,60.90,76.60,100.00,1.60,15.60,34.40,59.40,98.40,110
32.40,32.40,32.40,19.40,25.00,22.20,10.80,32.40,59.50,81.10,91.90,8.10,21.60,40.50,64.90,100.00,5.40,18.90,43.20,75.70,94.60,110
29.00,22.60,48.40,13.30,40.00,26.70,12.90,19.40,41.90,77.40,96.80,3.20,3.20,45.20,61.30,100.00,6.50,16.10,38.70,67.70,93.50,110
30.60,33.30,36.10,28.60,20.00,17.10,25.00,30.60,47.20,69.40,100.00,11.10,22.20,58.30,72.20,86.10,2.80,8.30,33.30,55.60,97.20,110
32.40,32.40,35.10,11.10,38.90,22.20,8.10,18.90,51.40,73.00,86.50,2.70,27.00,45.90,70.30,100.00,5.40,16.20,40.50,67.60,94.60,110
22.50,45.00,32.50,17.90,15.40,20.50,10.00,30.00,62.50,77.50,100.00,2.50,20.00,37.50,60.00,85.00,7.50,15.00,50.00,75.00,95.00,110
40.40,27.70,31.90,15.20,30.40,15.20,2.10,12.80,46.80,74.50,97.90,14.90,19.10,34.00,63.80,78.70,4.30,21.30,48.90,80.90,100.00,110
13.90,61.10,25.00,14.30,14.30,17.10,5.60,5.60,19.40,72.20,94.40,2.80,16.70,41.70,61.10,91.70,22.20,30.60,52.80,75.00,100.00,110
33.30,28.20,38.50,31.60,28.90,18.40,12.80,20.50,43.60,61.50,100.00,2.60,23.10,51.30,76.90,97.40,5.10,10.30,33.30,71.80,92.30,110
26.10,41.30,32.60,24.40,13.30,42.20,2.20,8.70,45.70,63.00,97.80,6.50,19.60,39.10,71.70,95.70,10.90,21.70,50.00,76.10,100.00,110
36.10,33.30,30.60,28.60,25.70,25.70,5.60,25.00,55.60,75.00,100.00,2.80,11.10,38.90,52.80,94.40,19.40,22.20,47.20,72.20,97.20,110
