@relation C-train

@attribute C1 real
@attribute C2 real
@attribute C3 real
@attribute C4 real
@attribute C5 real
@attribute C6 real
@attribute C7 real
@attribute C8 real
@attribute C9 real
@attribute C10 real
@attribute C11 real
@attribute C12 real
@attribute C13 real
@attribute C14 real      
@attribute C15 real      
@attribute C16 real
@attribute C17 real
@attribute C18 real
@attribute C19 real
@attribute C20 real
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data     
8.10,0.50,9.40,1.80,6.50,7.30,2.30,4.70,4.70,6.00,2.60,9.90,3.10,2.60,3.10,7.00,8.40,4.70,1.80,5.20,46
7.60,2.00,9.90,2.50,3.70,7.90,2.00,5.40,3.40,6.80,2.00,5.90,4.50,4.50,2.00,6.20,7.40,5.90,2.50,7.60,46
6.00,2.50,6.00,5.00,4.50,10.20,2.00,4.50,4.20,5.20,2.20,7.20,4.50,2.20,6.50,6.00,4.20,9.00,4.00,4.20,46
8.10,1.10,9.50,2.80,4.80,11.80,2.80,3.90,2.80,4.20,1.70,6.40,5.30,5.00,6.40,5.30,2.50,5.60,5.00,4.80,46
8.40,0.90,9.00,3.80,4.60,11.60,3.80,5.80,5.50,6.60,1.70,3.80,4.90,3.20,4.60,3.50,4.90,5.80,4.30,3.50,46
6.30,1.20,6.50,5.90,4.30,7.60,2.20,5.50,6.10,9.60,2.20,6.10,6.10,4.30,3.90,4.90,3.50,6.50,2.20,4.90,46
14.10,0.30,3.90,2.60,4.20,9.80,0.30,5.60,3.30,7.20,1.60,8.80,4.90,3.60,4.20,7.80,4.90,6.90,0.70,5.20,46
11.00,0.90,7.20,3.20,4.30,7.00,2.00,4.60,2.60,6.70,1.70,8.40,4.90,5.20,5.50,7.00,4.10,7.20,2.00,4.30,46
3.50,0.30,7.60,7.30,5.90,5.90,3.10,8.30,8.00,7.60,0.30,5.90,5.90,3.10,2.80,6.90,5.90,6.60,1.40,3.80,46
9.50,0.40,6.00,2.50,4.60,6.30,1.40,3.50,6.30,9.10,2.10,9.80,4.90,3.20,2.80,7.70,6.70,6.70,0.40,6.30,46
7.10,0.60,7.10,3.90,5.80,10.40,1.90,4.50,8.70,9.40,1.90,4.90,5.20,4.90,2.30,5.20,4.90,5.80,1.90,3.60,46
6.60,1.40,5.70,10.00,3.70,6.30,3.20,4.60,8.00,8.90,2.60,4.00,5.20,2.30,4.30,4.30,5.20,8.30,1.10,4.30,46
12.50,1.80,6.20,5.50,2.30,8.60,4.90,6.50,1.80,8.30,2.60,3.40,4.40,3.60,4.90,4.70,8.10,7.30,1.00,1.60,46
12.20,1.10,5.30,6.40,2.50,8.10,1.40,5.30,7.20,9.70,0.60,4.40,4.20,4.70,4.40,5.30,5.80,7.20,0.80,3.30,46
6.00,2.20,4.80,7.30,3.50,5.10,2.90,5.70,7.90,10.80,1.60,4.80,6.30,4.10,3.50,5.40,4.80,7.90,1.90,3.50,46
13.30,0.00,7.00,4.20,2.10,7.00,2.10,3.50,9.80,7.70,1.40,4.90,3.50,0.70,3.50,10.50,4.20,11.90,0.70,2.10,46
11.00,0.40,5.30,6.60,2.60,8.80,2.60,7.00,4.00,9.70,2.60,1.80,5.30,6.20,4.40,5.30,4.40,7.50,2.20,2.20,46
9.80,0.80,7.00,6.60,2.50,6.60,1.60,4.90,2.90,11.50,2.50,2.90,4.10,3.70,7.00,9.40,4.90,8.20,0.80,2.50,46
9.30,0.00,5.50,7.80,4.50,8.50,2.50,5.30,6.50,7.50,1.50,5.50,5.00,3.30,5.30,4.50,4.00,6.80,2.00,4.80,46
12.90,0.30,4.90,5.70,4.00,7.10,1.10,7.40,4.60,8.60,3.40,2.60,3.70,3.10,6.90,5.70,6.00,8.00,1.40,2.60,46
8.80,1.50,7.60,6.50,3.50,8.80,2.60,5.60,5.90,5.60,1.80,2.40,5.60,4.40,5.60,5.60,4.10,6.80,2.10,5.30,46
12.30,1.20,6.70,5.20,4.00,4.00,2.80,7.50,4.40,9.90,1.60,3.60,3.60,6.30,6.00,6.30,3.20,7.10,0.40,4.00,46
14.90,1.20,4.80,6.00,4.80,6.90,2.00,7.30,3.20,10.50,2.00,4.00,6.50,4.00,4.80,5.20,2.40,6.50,0.00,2.80,46
11.50,1.90,4.80,5.80,2.90,4.80,4.80,8.70,3.80,5.80,4.80,3.80,3.80,2.90,5.80,6.70,10.60,4.80,0.00,1.90,46
9.10,2.50,5.60,6.60,4.40,10.60,4.40,5.00,4.70,9.40,2.20,3.80,3.80,2.80,6.90,3.10,4.10,6.90,1.90,2.50,46
13.50,1.00,5.50,4.50,5.10,11.90,2.90,5.10,3.50,7.10,1.90,3.20,5.80,3.50,6.80,4.20,4.50,5.50,1.90,2.60,46
11.00,1.60,5.30,6.90,3.30,11.00,3.30,6.90,9.00,6.90,0.80,2.90,2.40,3.70,2.90,4.90,4.50,9.00,2.00,1.60,46
11.70,0.00,7.90,6.60,6.60,10.40,3.30,3.80,4.10,9.90,2.30,4.60,4.30,2.30,4.60,3.60,5.90,4.60,1.30,2.30,46
7.90,0.90,6.60,6.60,5.70,2.60,3.90,5.70,7.00,9.20,3.10,8.80,2.20,4.40,2.60,6.10,4.80,6.60,0.90,4.40,46
5.80,1.30,6.40,6.40,2.60,8.30,5.80,5.10,3.80,8.30,3.80,4.50,5.80,1.30,7.10,5.10,7.10,6.40,1.90,3.20,47
8.10,0.30,5.10,4.10,4.10,12.40,0.50,4.30,5.90,6.80,2.70,5.40,4.10,3.20,4.30,6.80,7.30,9.50,1.40,3.80,47
9.70,1.40,5.50,7.60,2.40,10.40,2.40,5.20,2.40,11.80,2.10,1.00,2.80,4.50,10.40,3.80,5.20,6.20,1.00,4.20,47
8.70,0.60,5.90,5.30,1.90,11.80,3.10,4.70,3.10,8.40,0.90,5.90,5.00,2.80,4.00,6.80,7.50,8.70,1.60,3.40,47
10.50,1.10,5.30,6.30,2.60,11.10,3.70,6.80,3.20,8.90,2.60,5.30,4.20,3.70,3.70,3.70,9.50,3.70,0.50,3.70,47
12.10,0.80,6.20,5.00,2.50,9.60,2.90,4.60,5.40,7.90,1.70,5.40,3.80,2.50,4.20,5.00,6.20,9.60,1.70,2.90,47
11.10,1.70,7.70,7.70,4.30,11.10,1.70,6.00,4.30,7.70,1.70,5.10,1.70,2.60,6.80,3.40,4.30,6.80,0.00,4.30,47
11.40,1.30,5.20,5.70,2.20,11.80,2.60,6.60,7.90,8.30,1.30,2.20,3.10,2.20,3.10,6.60,5.70,10.50,0.00,2.60,47
10.90,0.00,6.70,6.70,3.40,10.90,0.00,5.00,9.20,10.10,0.80,1.70,3.40,5.90,1.70,2.50,5.00,15.10,0.80,0.00,47
11.30,1.60,6.50,5.40,1.10,12.90,2.70,9.10,8.10,5.40,0.50,2.70,3.80,2.20,2.70,5.40,4.80,9.10,0.50,4.30,47
12.10,0.70,5.00,7.80,4.30,8.50,2.10,5.00,7.10,5.00,3.50,1.40,8.50,4.30,2.80,6.40,3.50,6.40,2.10,3.50,47
12.50,0.00,6.20,8.60,4.70,7.80,0.00,4.70,8.60,11.70,4.70,6.20,2.30,1.60,3.10,3.10,3.90,7.80,0.80,1.60,48
12.10,0.80,8.90,4.80,2.40,5.60,2.40,6.50,3.20,11.30,4.00,1.60,4.80,4.80,4.80,5.60,4.00,8.10,1.60,2.40,48
10.80,1.80,3.60,7.80,2.40,15.60,2.40,10.20,8.40,3.60,1.80,1.20,5.40,2.40,1.80,3.60,7.20,7.80,0.00,2.40,48
14.60,1.40,6.20,5.60,2.10,13.90,0.70,7.60,6.20,9.00,2.10,6.20,1.40,2.10,2.10,1.40,2.80,13.20,0.70,0.70,48
8.10,1.20,13.30,6.90,5.80,9.20,0.60,4.60,6.40,6.90,1.70,2.90,5.80,1.70,1.70,4.60,6.40,7.50,1.70,2.90,48
12.20,2.70,11.60,8.80,4.10,12.20,0.70,6.10,2.70,8.20,0.00,1.40,1.40,2.00,4.80,5.40,4.80,6.10,1.40,3.40,48
4.30,2.20,6.50,13.80,3.60,10.10,0.00,10.90,7.20,5.80,3.60,5.80,2.20,1.40,1.40,5.80,3.60,7.20,2.20,2.20,48
7.70,0.60,5.10,6.40,1.30,9.00,1.90,7.10,6.40,7.10,2.60,5.10,2.60,4.50,5.10,3.80,8.30,12.80,0.00,2.60,48
13.80,2.00,6.10,3.10,3.10,12.20,0.50,6.60,3.10,8.70,0.50,5.10,4.60,2.60,6.60,6.10,7.10,4.60,0.50,3.10,48
9.40,1.50,7.90,5.40,2.50,9.90,2.00,4.40,4.90,9.90,0.00,2.50,5.90,3.00,4.40,5.90,7.90,7.40,0.50,4.90,48
14.00,2.30,10.10,6.20,1.60,5.40,3.10,11.60,7.80,7.00,3.10,3.10,3.90,1.60,4.70,3.90,4.70,3.10,0.80,2.30,48
8.70,3.30,4.00,4.00,4.70,13.30,0.00,5.30,8.00,6.00,3.30,3.30,3.30,3.30,2.00,8.00,5.30,11.30,0.70,2.00,51
10.00,1.50,3.80,5.40,2.30,12.30,0.80,4.60,6.90,10.00,0.80,3.10,1.50,5.40,6.20,6.20,4.60,9.20,2.30,3.10,51
11.90,0.00,4.30,7.10,1.60,14.20,0.80,4.70,3.20,7.10,3.20,3.20,2.80,2.00,5.50,5.90,7.90,10.70,1.20,2.80,51
11.40,1.70,4.70,4.70,3.00,10.20,1.70,3.80,6.40,8.90,3.00,3.40,3.40,3.40,3.40,8.10,7.20,7.60,3.00,1.30,51
7.70,0.90,7.10,4.10,2.70,8.90,3.80,5.30,4.10,8.00,2.70,5.60,6.20,3.80,4.70,5.60,4.40,8.60,1.50,4.10,51
6.50,1.20,6.50,8.30,3.00,6.50,2.40,8.30,9.50,8.90,0.60,4.80,4.20,1.20,4.80,4.20,5.40,9.50,0.60,3.60,51
9.60,2.10,5.90,5.90,1.60,6.40,6.40,3.70,3.20,9.60,3.70,3.70,6.40,0.50,7.40,3.70,5.30,8.50,2.70,3.70,51
11.50,0.00,6.30,6.30,6.30,8.90,1.60,4.70,3.10,10.50,1.60,4.20,4.20,2.60,4.70,7.90,5.80,5.20,1.00,3.70,51
12.90,1.40,4.80,2.70,2.00,10.20,0.70,6.80,8.20,10.20,1.40,4.10,5.40,2.70,2.00,4.80,6.10,12.20,0.00,1.40,51
16.10,0.60,5.80,5.80,3.20,8.40,0.00,3.90,6.50,12.30,3.90,4.50,5.80,3.90,4.50,0.60,3.20,9.00,0.00,1.90,51
12.60,0.70,5.60,5.60,2.10,8.40,1.40,9.10,4.20,7.70,2.80,3.50,6.30,4.20,4.20,4.90,5.60,9.80,0.00,1.40,51
8.50,2.30,8.50,4.50,3.40,12.50,1.70,8.00,7.40,9.10,2.80,4.50,3.40,2.30,4.50,4.00,2.30,8.00,1.10,1.10,51
9.10,1.70,4.10,4.10,3.30,12.40,1.70,10.70,6.60,6.60,2.50,1.70,5.00,2.50,1.70,4.10,11.60,9.10,0.00,1.70,51
8.10,0.50,5.90,8.10,5.90,7.00,0.50,5.90,10.20,6.50,1.10,4.30,3.80,2.20,3.80,10.20,5.40,7.00,0.50,3.20,54
5.10,2.00,8.20,7.70,6.10,6.60,1.00,7.70,8.70,7.70,1.50,3.10,3.60,4.10,6.60,7.70,3.10,7.70,0.00,2.00,54
5.90,0.00,5.50,6.40,3.20,7.30,2.30,5.50,6.40,11.80,1.80,3.60,5.90,4.50,7.30,4.10,7.70,6.40,1.40,3.20,54
6.60,1.80,8.40,7.80,3.00,6.60,1.80,6.60,4.80,6.60,2.40,2.40,1.80,6.60,6.60,4.80,6.60,9.00,0.00,5.40,54
5.10,2.60,6.70,6.20,7.20,4.60,3.60,9.20,8.20,7.20,3.10,5.10,1.00,3.10,4.10,5.60,6.70,7.20,0.50,3.10,54
9.00,0.50,8.00,9.00,1.90,6.60,4.20,6.60,5.70,7.10,3.30,4.20,5.70,1.90,4.20,1.40,6.60,9.90,0.90,3.30,54
7.80,0.40,7.40,8.50,2.70,6.20,1.90,8.50,6.20,8.50,2.70,2.70,3.90,2.30,6.60,2.70,7.40,8.50,1.20,3.90,54
13.20,0.90,3.20,5.50,2.30,8.20,1.80,4.10,3.70,11.40,1.80,2.70,5.90,4.60,3.70,5.00,9.10,7.30,2.30,3.20,54
9.50,2.50,6.00,9.50,2.10,9.90,0.70,7.80,5.70,7.40,4.90,4.60,2.80,2.50,4.60,3.50,3.90,8.80,0.00,3.20,54
11.90,1.10,5.20,7.50,2.60,10.10,0.40,7.80,7.10,10.10,2.20,3.40,2.20,4.50,4.50,5.60,4.10,6.70,0.40,2.60,54
11.10,1.90,10.20,4.60,3.70,8.30,0.90,8.30,9.30,12.00,0.90,3.70,4.60,2.80,0.90,2.80,5.60,4.60,1.90,1.90,57
11.40,1.00,6.70,9.50,8.60,4.80,1.00,3.80,11.40,5.70,1.90,2.90,2.90,4.80,0.00,6.70,4.80,10.50,1.00,1.00,57
12.50,0.00,9.40,6.20,3.10,10.90,0.00,6.20,6.20,6.20,1.60,3.10,1.60,4.70,3.10,4.70,6.20,9.40,3.10,1.60,57
8.20,2.40,9.40,7.10,4.70,7.10,1.20,5.90,7.10,4.70,1.20,2.40,3.50,9.40,4.70,2.40,4.70,8.20,1.20,4.70,57
3.40,2.30,8.00,5.70,8.00,9.20,2.30,6.90,10.30,8.00,3.40,3.40,5.70,4.60,3.40,2.30,4.60,4.60,0.00,3.40,57
4.90,2.20,4.90,7.10,7.10,7.70,1.10,3.30,3.80,11.50,1.60,6.00,7.70,2.20,7.70,4.90,5.50,7.70,1.10,2.20,57
4.80,0.00,7.10,4.80,2.40,6.00,3.60,6.00,6.00,13.10,3.60,4.80,6.00,2.40,8.30,6.00,3.60,1.20,2.40,8.30,57
3.90,2.60,5.20,5.20,5.20,5.20,1.30,2.60,3.90,13.00,3.90,1.30,9.10,6.50,7.80,5.20,6.50,3.90,2.60,5.20,57
10.70,2.70,5.30,6.70,5.30,5.30,4.00,2.70,4.00,9.30,8.00,2.70,5.30,1.30,6.70,4.00,5.30,5.30,1.30,4.00,57
11.10,0.50,6.30,5.30,3.70,7.90,1.10,5.30,7.40,4.20,2.60,5.30,4.20,3.70,4.20,3.70,8.40,11.10,0.50,3.70,59
8.90,0.70,6.20,7.50,3.40,8.20,3.40,5.50,4.80,6.80,4.10,4.10,6.20,3.40,4.10,4.10,6.20,7.50,1.40,3.40,59
7.10,1.30,5.80,7.50,2.70,7.10,1.80,9.70,4.90,7.10,4.40,2.70,4.40,2.70,5.30,7.50,8.00,4.40,0.90,4.90,59
6.20,0.80,7.00,7.40,2.10,6.20,2.50,9.50,4.10,6.60,2.50,2.90,3.30,4.90,6.60,6.20,7.80,7.40,3.30,2.90,59
12.60,1.20,3.70,8.10,3.70,9.80,1.20,4.50,4.10,8.10,3.30,5.30,2.40,3.30,6.10,2.40,6.50,7.30,2.00,4.50,59
12.90,1.30,8.40,3.20,3.20,3.90,2.60,7.10,2.60,6.50,1.90,6.50,3.20,5.20,10.30,4.50,4.50,5.20,1.30,5.80,59
9.00,1.90,4.50,7.70,1.30,9.00,3.20,4.50,7.10,7.70,2.60,4.50,3.20,5.20,6.50,2.60,6.50,5.80,3.90,3.20,59
8.00,0.00,4.00,8.80,0.80,8.00,0.00,7.20,8.80,9.60,0.00,5.60,3.20,8.80,1.60,4.00,6.40,9.60,0.80,4.80,59
11.40,0.00,8.30,8.80,3.10,5.20,2.10,6.70,6.70,13.50,1.60,4.10,3.10,3.10,3.60,4.10,4.70,4.10,1.60,4.10,59
13.30,1.30,4.40,3.20,2.50,7.60,1.90,8.20,4.40,8.20,1.90,2.50,3.80,8.90,5.10,5.10,4.40,10.10,0.00,3.20,59
4.40,1.30,4.50,6.20,6.40,8.30,2.30,4.00,4.70,9.30,2.80,6.60,6.10,2.80,4.50,8.00,4.20,7.60,2.70,3.20,62
9.70,1.30,8.40,5.80,7.40,5.80,1.60,4.50,3.90,9.00,3.50,3.20,7.40,4.20,4.80,4.20,5.20,4.50,1.90,3.50,62
7.10,1.40,6.80,7.50,5.10,5.40,4.40,5.10,4.10,11.60,1.70,5.80,2.70,2.40,4.10,5.80,7.10,7.80,1.40,2.70,62
11.40,1.90,4.40,1.30,3.20,8.20,0.30,3.50,2.80,9.80,1.30,4.40,9.50,5.70,2.50,9.80,8.50,7.30,1.60,2.80,62
6.40,2.60,5.70,4.90,3.80,6.80,2.30,6.00,2.60,8.30,0.40,4.20,4.90,3.00,3.80,9.10,9.80,8.30,1.50,5.70,62
7.80,2.20,7.10,4.50,5.60,10.40,2.20,5.90,2.60,7.40,0.00,7.10,4.50,2.20,5.20,6.30,7.10,6.70,1.50,3.70,62
8.80,0.90,6.40,3.40,5.80,10.50,0.90,5.40,3.70,9.00,2.60,6.00,5.80,3.00,2.60,8.40,6.70,5.20,0.90,3.70,62
11.30,0.60,5.30,1.60,2.50,10.70,2.80,3.10,1.90,9.70,0.30,4.70,3.10,5.30,3.50,8.20,11.00,10.10,0.90,3.10,62
6.50,3.60,6.20,4.50,6.50,10.40,2.70,5.60,4.50,5.00,0.90,6.80,5.90,2.70,4.20,7.10,5.00,6.80,1.50,3.60,62
9.80,1.60,7.40,4.70,5.10,9.00,3.50,3.90,2.70,7.80,1.20,4.70,5.50,2.00,4.70,7.00,3.90,6.60,2.00,7.00,62
8.50,1.30,5.20,2.60,2.00,7.80,3.30,3.30,1.30,8.50,2.60,2.60,6.50,4.60,6.50,5.90,9.20,7.20,3.90,7.20,62
13.70,0.00,7.70,4.10,2.60,8.90,1.10,4.80,8.90,9.20,1.50,5.90,3.30,6.30,2.20,3.30,4.80,10.70,0.00,1.10,69
10.20,0.30,6.90,6.60,3.90,9.50,1.00,5.20,9.80,7.20,3.00,3.30,4.90,3.60,2.60,4.60,5.20,8.50,1.60,2.00,69
12.90,0.00,9.40,4.50,1.90,7.10,1.00,4.90,10.00,7.40,2.30,6.80,3.20,4.90,1.90,4.50,4.20,8.70,1.60,2.60,69
12.80,0.60,7.60,4.90,2.90,9.90,1.20,5.80,8.40,6.70,1.50,4.10,4.40,5.80,2.00,4.10,5.20,7.60,0.90,3.80,69
9.60,1.40,6.70,6.20,1.40,7.70,1.40,5.80,3.40,14.40,1.40,2.90,5.30,2.90,9.10,6.20,2.90,9.10,0.50,1.40,69
10.40,0.00,8.40,6.10,3.90,6.80,1.90,5.80,9.10,6.80,0.00,5.80,3.90,3.20,3.20,5.50,5.20,7.80,2.30,3.90,69
7.70,0.40,7.50,5.60,3.10,4.30,2.10,4.40,8.30,8.50,0.60,7.00,6.00,3.50,3.30,5.40,5.80,8.50,2.50,5.40,69
11.90,0.00,6.50,7.30,4.10,7.80,0.80,6.20,10.00,8.10,1.60,5.70,5.70,2.40,1.60,3.20,5.40,5.40,2.20,4.10,69
10.10,0.80,7.60,7.10,5.00,8.80,0.40,6.30,9.70,7.60,1.30,3.40,3.80,5.00,3.80,4.60,5.50,5.50,0.40,3.40,69
10.90,0.00,6.50,4.70,3.70,10.60,0.30,5.30,9.70,7.50,0.00,5.30,4.70,4.40,1.20,5.90,6.20,6.90,2.50,3.70,69
9.50,3.70,6.70,5.80,3.70,7.30,2.10,4.60,8.20,7.60,0.90,3.70,4.00,4.00,3.70,7.60,5.50,6.40,1.50,3.70,69
10.70,0.00,8.90,8.90,3.60,7.10,0.00,1.80,10.70,5.40,1.80,5.40,0.00,1.80,0.00,0.00,19.60,7.10,1.80,5.40,72
11.50,0.00,6.40,15.40,5.10,6.40,0.00,3.80,10.30,3.80,0.00,6.40,2.60,1.30,0.00,3.80,14.10,3.80,0.00,5.10,72
2.60,0.00,6.60,7.90,2.60,7.90,1.30,9.20,9.20,11.80,1.30,2.60,3.90,7.90,5.30,3.90,9.20,5.30,0.00,1.30,72
8.20,5.20,6.20,7.20,3.10,6.20,1.00,3.10,3.10,7.20,2.10,5.20,3.10,1.00,9.30,12.40,8.20,8.20,0.00,0.00,72
4.10,5.10,8.20,10.20,3.10,7.10,2.00,8.20,5.10,7.10,1.00,3.10,3.10,6.10,2.00,8.20,7.10,6.10,0.00,3.10,72
8.50,5.70,8.50,5.70,0.90,7.50,1.90,5.70,2.80,5.70,2.80,3.80,3.80,3.80,4.70,6.60,4.70,13.20,0.90,2.80,72
2.00,0.00,6.90,6.90,3.00,5.00,3.00,9.90,12.90,8.90,1.00,4.00,6.90,4.00,2.00,6.90,7.90,2.00,2.00,5.00,72
16.40,14.50,9.10,5.50,0.00,9.10,0.00,9.10,0.00,0.00,0.00,1.80,7.30,3.60,1.80,5.50,1.80,10.90,0.00,3.60,87
12.50,7.80,9.40,18.80,3.10,3.10,1.60,6.20,4.70,0.00,3.10,0.00,4.70,4.70,1.60,3.10,1.60,9.40,1.60,3.10,87
5.00,0.00,6.00,9.00,3.00,6.00,2.00,9.00,7.00,12.00,2.00,6.00,5.00,3.00,5.00,5.00,7.00,6.00,0.00,2.00,87
3.70,0.00,8.60,14.80,6.20,2.50,6.20,6.20,4.90,7.40,0.00,6.20,2.50,4.90,3.70,6.20,3.70,9.90,1.20,1.20,87
10.50,0.00,4.20,8.40,5.60,7.00,2.80,9.80,7.00,7.00,2.10,3.50,4.20,4.20,4.90,5.60,4.20,6.30,0.00,2.80,87
6.20,0.00,5.20,7.20,2.10,9.30,1.00,7.20,6.20,8.20,1.00,6.20,5.20,4.10,8.20,6.20,6.20,6.20,0.00,4.10,87
5.90,1.20,4.70,3.50,7.10,3.50,1.20,9.40,10.60,8.20,3.50,5.90,3.50,4.70,5.90,8.20,4.70,3.50,0.00,4.70,87
7.10,3.50,3.50,2.40,8.20,7.10,3.50,4.70,4.70,5.90,1.20,5.90,4.70,7.10,7.10,7.10,8.20,4.70,1.20,2.40,87
9.80,0.80,5.70,7.40,4.90,6.60,0.00,4.10,4.10,8.20,0.80,1.60,6.60,2.50,6.60,4.10,9.00,9.00,0.80,7.40,87
14.40,0.80,7.20,7.20,4.00,8.00,2.40,4.00,4.80,8.00,4.00,3.20,2.40,1.60,4.00,4.00,5.60,7.20,0.00,7.20,87
3.10,1.00,3.10,7.10,4.10,8.20,0.00,3.10,9.20,3.10,2.00,5.10,3.10,3.10,7.10,13.30,6.10,12.20,2.00,4.10,87
6.20,0.00,5.20,11.30,2.10,3.10,0.00,5.20,4.10,11.30,3.10,6.20,5.20,6.20,12.40,2.10,0.00,10.30,1.00,5.20,87
5.60,0.00,4.50,9.00,5.60,9.00,1.10,6.70,3.40,6.70,5.60,2.20,5.60,6.70,7.90,2.20,4.50,10.10,0.00,3.40,87
11.10,16.70,8.30,0.00,2.80,5.60,5.60,2.80,5.60,0.00,0.00,5.60,8.30,2.80,2.80,5.60,5.60,2.80,5.60,2.80,110
4.20,16.70,4.20,8.30,2.10,12.50,0.00,6.20,4.20,4.20,4.20,4.20,4.20,0.00,8.30,4.20,8.30,0.00,2.10,2.10,110
4.60,12.30,3.10,9.20,1.50,13.80,0.00,0.00,12.30,7.70,0.00,4.60,6.20,1.50,0.00,6.20,4.60,1.50,1.50,9.20,110
4.70,12.50,6.20,4.70,1.60,10.90,3.10,1.60,7.80,3.10,0.00,6.20,4.70,1.60,4.70,3.10,4.70,6.20,1.60,10.90,110
0.00,16.20,0.00,2.70,2.70,2.70,2.70,0.00,10.80,2.70,2.70,8.10,0.00,2.70,8.10,13.50,10.80,5.40,2.70,2.70,110
3.20,19.40,3.20,3.20,3.20,9.70,3.20,3.20,9.70,16.10,3.20,3.20,0.00,3.20,6.50,6.50,0.00,3.20,0.00,0.00,110
2.80,22.20,8.30,0.00,2.80,13.90,2.80,0.00,8.30,2.80,8.30,0.00,5.60,5.60,8.30,0.00,5.60,0.00,0.00,2.80,110
2.70,16.20,2.70,2.70,2.70,10.80,2.70,2.70,13.50,2.70,5.40,5.40,8.10,2.70,5.40,5.40,2.70,5.40,0.00,0.00,110
10.00,15.00,2.50,0.00,0.00,17.50,5.00,2.50,2.50,10.00,0.00,10.00,0.00,0.00,7.50,5.00,5.00,5.00,0.00,2.50,110
4.30,17.00,2.10,2.10,4.30,14.90,0.00,4.30,8.50,0.00,2.10,6.40,4.30,8.50,12.80,4.30,0.00,2.10,2.10,0.00,110
2.80,11.10,0.00,0.00,0.00,16.70,2.80,2.80,0.00,5.60,0.00,2.80,5.60,11.10,0.00,11.10,11.10,5.60,0.00,11.10,110
7.70,12.80,5.10,5.10,0.00,5.10,2.60,10.30,5.10,15.40,0.00,7.70,0.00,5.10,5.10,10.30,2.60,0.00,0.00,0.00,110
2.20,10.90,2.20,8.70,4.30,10.90,2.20,4.30,4.30,6.50,0.00,8.70,2.20,0.00,2.20,8.70,8.70,6.50,0.00,6.50,110
0.00,22.20,8.30,5.60,2.80,0.00,0.00,2.80,11.10,0.00,2.80,2.80,11.10,2.80,5.60,16.70,2.80,0.00,0.00,2.80,110
