@relation V-train

@attribute V1 real
@attribute V2 real
@attribute V3 real
@attribute V4 real
@attribute V5 real
@attribute V6 real
@attribute V7 real
@attribute V8 real
@attribute V9 real
@attribute V10 real
@attribute V11 real
@attribute V12 real
@attribute V13 real
@attribute V14 real      
@attribute V15 real      
@attribute V16 real
@attribute V17 real
@attribute V18 real
@attribute V19 real
@attribute V20 real
@attribute V21 real
@attribute class {1,3,4,7,9,11,20,23,26,30,31,32,33,35,39,46,47,48,51,54,57,59,62,69,72,87,110}

@data
35.80,33.50,30.60,22.70,25.00,21.50,2.90,24.30,47.40,77.50,98.30,0.60,28.90,56.10,78.60,100.00,1.70,22.00,42.80,67.10,98.80,39
39.60,34.10,26.20,27.00,19.60,16.00,0.60,29.90,50.00,74.40,100.00,1.20,27.40,52.40,75.60,99.40,2.40,14.60,45.70,71.30,95.10,39
32.50,42.70,24.80,26.90,18.60,23.70,1.90,22.90,52.90,75.20,100.00,0.60,22.30,42.00,75.80,98.70,5.10,24.20,48.40,69.40,99.40,39
29.80,40.50,29.80,27.70,16.20,22.30,0.80,26.00,52.70,65.60,94.70,6.10,27.50,48.10,77.90,100.00,1.50,15.30,42.00,71.80,99.20,39
39.70,33.60,26.70,25.40,19.20,16.20,0.80,22.10,48.10,74.80,100.00,3.80,31.30,50.40,71.00,98.50,3.10,20.60,48.90,80.20,99.20,39
47.30,29.00,23.70,25.40,19.20,14.60,0.80,28.20,47.30,73.30,100.00,2.30,18.30,51.10,71.00,94.70,1.50,15.30,48.90,79.40,99.20,39
33.60,42.30,24.10,22.80,14.70,25.00,0.70,28.50,54.70,78.10,95.60,1.50,18.20,48.90,70.80,100.00,2.20,21.20,47.40,67.90,99.30,39
40.80,31.20,28.00,24.20,17.70,18.50,4.00,21.60,42.40,67.20,93.60,1.60,18.40,36.80,69.60,100.00,0.80,41.60,63.20,84.80,99.20,39
43.90,29.80,26.40,26.20,22.30,15.70,0.30,23.50,47.00,72.80,99.70,1.60,21.10,49.10,76.00,97.70,2.30,29.00,54.80,74.20,100.00,46
45.60,31.20,23.20,26.40,20.70,15.60,0.30,20.70,47.60,75.10,100.00,2.50,29.20,54.10,77.60,98.90,1.70,23.50,43.90,71.40,99.70,46
39.30,33.10,27.60,24.70,20.90,19.50,0.70,26.60,45.00,71.90,100.00,0.20,21.60,47.50,74.90,99.80,0.50,25.40,55.20,78.40,99.00,46
43.70,28.00,28.30,21.10,23.00,15.20,0.30,25.20,46.20,72.00,99.70,0.60,26.30,50.40,77.00,100.00,1.40,23.80,53.20,73.40,98.90,46
43.10,28.90,28.00,20.90,27.20,18.00,1.70,27.50,49.70,73.70,99.70,0.30,21.40,47.40,72.80,100.00,1.20,24.00,51.20,78.90,99.40,46
36.10,38.00,25.90,27.80,18.00,18.40,0.20,27.80,49.40,75.50,100.00,0.40,20.00,46.30,73.90,99.80,0.60,29.00,51.80,71.80,99.60,46
45.80,34.60,19.60,28.90,17.00,12.80,0.70,27.10,51.60,75.20,98.40,0.30,19.30,41.80,70.90,99.70,1.60,28.40,55.90,81.70,100.00,46
42.00,35.40,22.60,29.40,18.30,16.60,0.30,22.60,45.50,74.50,100.00,0.60,25.80,56.80,75.70,99.70,2.30,24.30,46.10,70.40,97.70,46
36.00,38.80,25.30,24.70,18.40,19.10,0.30,26.30,50.20,78.20,100.00,1.40,26.60,49.50,71.60,99.30,0.70,23.20,48.40,74.00,95.80,46
41.40,34.70,23.90,25.40,25.70,19.00,0.40,32.30,52.30,73.30,99.60,1.80,18.90,38.90,71.60,97.50,1.10,26.00,54.70,78.60,100.00,46
40.50,33.30,26.20,27.60,22.40,19.20,0.30,27.50,49.80,75.40,100.00,1.90,21.40,45.30,73.50,99.40,1.60,27.20,49.20,72.20,98.40,46
34.70,38.10,27.20,25.60,20.10,20.10,0.30,22.90,50.40,74.50,95.40,1.40,26.60,47.30,71.30,100.00,1.10,22.30,50.70,78.80,99.70,46
46.20,34.50,19.20,35.40,15.40,13.50,0.30,21.30,43.10,69.40,98.40,0.50,26.00,51.70,75.80,99.70,1.30,35.60,61.60,76.60,100.00,46
41.90,37.80,20.30,32.30,16.40,13.40,0.30,25.60,53.30,76.10,99.70,1.40,23.10,50.00,73.10,99.20,0.80,22.20,42.20,71.10,100.00,46
34.60,40.60,24.80,24.80,18.20,20.40,0.30,28.60,49.20,73.00,98.40,1.30,21.30,48.30,72.40,99.70,1.00,26.00,53.30,79.40,100.00,46
45.50,32.90,21.70,31.70,20.40,14.80,0.70,25.90,52.40,76.20,100.00,1.40,20.30,48.30,70.60,95.10,2.80,21.00,39.90,71.30,97.90,46
40.50,38.80,20.70,35.40,16.40,18.10,0.40,21.60,52.40,75.30,98.20,0.90,28.60,48.00,76.70,100.00,2.20,22.50,49.80,71.40,99.10,46
42.60,37.70,19.70,38.30,16.00,16.00,0.40,25.80,54.90,73.80,100.00,0.80,28.70,45.50,75.40,99.60,1.20,15.20,43.40,70.50,99.20,46
36.80,36.10,27.10,26.90,23.10,20.90,0.30,21.80,48.40,73.40,99.50,0.80,25.10,49.60,73.20,98.70,0.50,25.30,51.40,79.40,100.00,46
40.60,35.40,24.00,30.90,18.60,18.90,1.10,27.10,51.10,76.00,100.00,0.60,23.10,52.00,74.30,98.60,0.30,21.10,45.70,75.70,99.70,46
42.10,31.20,26.80,25.70,22.70,16.20,0.30,22.10,47.10,74.10,100.00,2.40,25.30,52.90,75.90,98.80,0.60,24.70,49.10,72.40,99.70,46
37.30,39.70,23.00,30.70,17.90,15.90,1.20,23.80,47.20,74.20,98.40,0.80,29.00,55.60,74.60,100.00,0.40,21.80,45.20,73.80,99.60,46
41.90,38.30,19.80,28.30,13.40,17.80,3.60,23.80,51.20,78.20,100.00,0.80,21.00,47.20,72.20,97.60,0.40,27.80,54.80,73.40,99.20,46
44.20,31.70,24.00,27.20,22.30,18.40,2.90,25.00,43.30,78.80,100.00,1.00,20.20,45.20,71.20,96.20,6.70,19.20,54.80,68.30,99.00,46
38.80,34.40,26.90,28.80,22.60,17.60,0.90,25.90,53.10,76.20,97.50,0.60,26.20,52.20,76.90,99.70,0.30,21.20,45.90,66.60,100.00,46
46.30,28.90,24.80,28.10,23.20,12.30,0.30,26.00,51.10,74.30,99.70,1.30,19.60,39.90,75.60,100.00,3.20,28.60,52.70,74.00,98.70,46
40.80,36.30,22.90,32.80,17.20,19.70,2.40,24.50,49.80,78.00,99.20,2.00,26.90,51.40,73.50,98.80,0.40,20.00,40.40,74.30,100.00,46
43.80,31.80,24.40,28.60,23.50,15.60,0.80,22.40,47.60,75.10,99.70,0.30,26.70,51.70,71.00,99.20,2.00,27.20,49.90,74.30,100.00,46
31.10,41.20,27.60,30.00,15.90,22.50,0.90,23.20,43.00,70.20,94.30,2.20,25.90,53.90,74.10,100.00,0.40,22.40,47.80,80.70,98.70,46
39.70,32.10,28.20,21.90,15.50,15.50,2.60,14.70,40.40,77.60,98.70,1.90,26.90,48.10,69.20,97.40,0.60,32.70,57.10,76.30,100.00,47
44.10,33.20,22.70,30.40,19.20,14.40,0.30,20.00,49.50,73.80,99.70,0.50,27.60,54.90,79.70,100.00,1.90,25.90,45.70,66.20,98.40,47
38.80,36.30,24.90,28.10,15.60,20.10,1.00,27.00,52.20,70.20,99.30,1.40,19.00,44.60,73.40,100.00,0.30,29.10,53.30,78.20,99.70,47
46.30,35.70,18.00,32.40,20.90,10.30,0.30,22.40,47.80,69.90,99.70,0.60,23.00,47.20,78.00,100.00,3.40,35.10,54.00,71.40,94.40,47
45.30,34.70,20.00,25.40,14.30,16.40,0.50,21.60,54.70,78.90,99.50,4.20,25.80,47.40,70.00,100.00,2.10,27.40,45.30,71.60,97.90,47
43.80,35.00,21.20,31.80,17.60,15.90,0.40,22.90,48.30,75.40,100.00,2.50,27.90,55.80,74.60,97.50,0.80,18.30,40.80,70.40,98.80,47
41.00,35.90,23.10,32.80,19.80,16.40,1.70,20.50,43.60,76.90,100.00,0.90,25.60,55.60,71.80,99.10,11.10,29.10,47.90,70.90,96.60,47
45.00,35.40,19.70,31.60,16.20,12.70,0.40,23.10,50.20,74.20,98.70,0.90,25.80,49.80,72.50,100.00,1.30,24.90,41.00,77.70,99.60,47
39.50,44.50,16.00,39.00,11.90,16.90,0.80,14.30,38.70,70.60,100.00,3.40,26.90,51.30,72.30,99.20,15.10,36.10,59.70,79.00,95.00,47
46.20,33.90,19.90,24.90,20.00,12.40,0.50,22.00,48.90,73.10,98.90,2.70,24.70,54.30,75.80,100.00,1.60,28.50,45.70,71.00,98.40,47
44.70,29.80,25.50,17.90,25.00,15.00,0.70,23.40,41.80,75.90,100.00,2.80,19.90,52.50,80.10,98.60,1.40,31.90,48.20,68.10,93.60,47
35.90,40.60,23.40,18.90,16.50,23.60,0.80,31.20,57.00,75.80,99.20,3.10,23.40,45.30,72.70,98.40,2.30,14.10,46.10,71.10,100.00,48
41.90,37.10,21.00,28.50,18.70,16.30,3.20,24.20,46.80,72.60,96.80,1.60,22.60,50.80,73.40,100.00,0.80,16.90,56.50,75.80,98.40,48
47.90,32.90,19.20,34.90,16.90,15.10,1.20,25.70,48.50,76.00,98.20,0.60,22.80,47.90,67.10,99.40,7.20,24.60,59.30,73.70,100.00,48
41.70,43.80,14.60,32.90,11.20,14.70,0.70,25.00,47.90,78.50,99.30,2.10,26.40,54.20,73.60,98.60,2.80,20.10,36.80,52.10,100.00,48
48.60,30.60,20.80,34.30,22.70,14.00,1.70,20.80,43.40,69.40,99.40,1.20,27.70,53.20,82.70,100.00,0.60,28.90,52.00,75.70,94.20,48
50.30,32.70,17.00,25.30,19.20,12.30,0.70,23.10,46.90,70.10,99.30,2.70,27.20,48.30,75.50,100.00,1.40,23.80,57.80,74.80,98.00,48
34.80,44.90,20.30,27.00,16.80,10.20,5.10,23.20,49.30,71.00,98.60,2.20,25.40,44.90,79.70,100.00,0.70,15.20,58.70,70.30,97.10,48
37.20,42.90,19.90,30.30,16.10,20.60,1.90,28.80,55.80,73.10,99.40,0.60,21.20,42.30,69.20,98.10,2.60,22.40,53.20,87.20,100.00,48
52.00,30.60,17.30,28.20,19.50,13.80,1.00,23.00,48.50,73.50,100.00,3.60,22.40,50.00,73.00,99.00,0.50,27.00,62.20,76.50,99.50,48
48.30,32.50,19.20,32.20,21.80,10.90,0.50,22.20,49.80,74.90,99.50,1.50,28.10,50.70,70.00,100.00,1.00,14.80,48.30,76.40,96.10,48
44.20,32.60,23.30,33.60,29.70,11.70,5.40,24.00,56.60,77.50,100.00,3.10,27.10,45.70,64.30,99.20,0.80,14.70,45.00,69.00,97.70,48
46.00,33.30,20.70,32.90,23.50,10.10,1.30,19.30,43.30,71.30,99.30,6.00,30.00,52.00,72.70,95.30,0.70,24.70,48.00,85.30,100.00,51
40.00,37.70,22.30,26.40,16.30,21.70,3.80,23.10,46.90,78.50,100.00,1.50,26.20,48.50,73.10,96.90,0.80,20.80,50.00,66.90,98.50,51
47.00,34.80,18.20,30.60,16.30,13.10,0.80,20.60,54.20,76.30,99.60,0.40,24.50,43.10,70.00,100.00,2.40,28.50,49.40,72.30,99.20,51
46.60,31.80,21.60,29.40,20.90,11.90,0.80,28.80,54.20,73.70,99.20,0.40,19.10,43.20,73.30,97.90,1.30,20.30,47.50,77.50,100.00,51
40.80,35.50,23.70,29.40,21.40,15.70,1.80,27.50,53.80,75.40,100.00,0.90,19.80,45.60,69.80,98.80,0.30,28.40,52.70,82.20,99.40,51
34.50,41.10,24.40,27.50,16.20,20.40,0.60,24.40,51.20,73.80,95.80,1.80,23.80,53.00,77.40,98.80,1.20,22.60,41.10,61.90,100.00,51
39.40,31.90,28.70,28.30,24.60,18.20,1.10,27.10,55.90,80.90,100.00,0.50,19.10,44.10,63.30,98.90,3.20,23.90,48.40,73.90,98.40,51
44.50,33.50,22.00,34.70,22.60,10.00,1.00,28.30,48.20,72.80,100.00,0.50,21.50,53.90,77.00,98.40,5.20,23.00,41.90,64.40,97.90,51
45.60,38.80,15.60,37.00,13.00,12.30,2.70,23.10,43.50,73.50,100.00,2.00,21.80,50.30,71.40,99.30,0.70,32.70,55.80,75.50,98.00,51
40.60,39.40,20.00,31.80,17.50,11.00,1.90,21.30,47.70,72.90,99.40,3.20,25.20,43.90,74.80,97.40,0.60,18.70,53.50,73.50,100.00,51
44.10,39.90,16.10,32.40,14.10,15.50,0.70,16.80,44.10,69.90,100.00,2.80,25.90,56.60,75.50,97.20,2.10,25.20,47.60,71.30,97.90,51
41.50,36.40,22.20,30.90,19.40,18.30,0.60,27.30,58.50,79.00,100.00,1.10,18.20,41.50,59.10,98.30,7.40,26.70,47.20,69.30,97.70,51
47.90,34.70,17.40,39.20,14.20,15.80,0.80,25.60,50.40,69.40,100.00,1.70,21.50,57.00,76.90,98.30,5.00,19.00,38.80,64.50,97.50,51
40.90,33.90,25.30,27.00,23.20,18.40,0.50,18.80,45.20,73.10,98.90,2.20,30.60,54.80,75.80,99.50,1.10,25.80,46.20,72.60,100.00,54
36.20,37.80,26.00,26.70,19.00,20.00,0.50,16.80,42.30,71.90,99.50,3.60,28.60,44.90,73.50,100.00,1.50,30.10,55.60,77.60,98.50,54
36.40,38.20,25.50,26.50,19.60,23.30,0.50,17.30,44.50,70.00,99.50,2.70,31.40,51.40,75.50,100.00,2.30,25.50,55.00,78.60,99.10,54
36.70,39.20,24.10,29.10,18.20,17.00,1.20,23.50,46.40,73.50,95.20,1.80,21.70,47.60,69.90,99.40,0.60,25.30,54.20,77.10,100.00,54
32.30,37.90,29.70,23.20,14.40,25.80,0.50,20.00,44.60,72.80,97.40,2.10,22.60,49.20,76.90,100.00,1.00,24.60,50.80,71.30,99.50,54
37.70,38.70,23.60,24.60,19.90,20.90,0.50,21.70,44.30,67.50,100.00,1.90,28.80,59.40,76.40,99.10,0.90,24.50,43.40,73.10,98.60,54
35.70,39.10,25.20,27.20,16.00,21.80,0.80,23.30,46.50,71.70,100.00,1.20,29.80,55.00,78.70,99.20,0.40,19.40,43.00,63.60,98.80,54
45.70,35.60,18.70,31.20,17.40,9.60,2.70,20.50,45.20,74.90,99.10,2.30,29.70,52.10,73.50,100.00,0.50,16.40,46.60,74.40,97.30,54
38.20,40.60,21.20,29.80,17.70,17.00,0.40,21.60,41.30,65.70,100.00,1.40,26.90,54.40,78.40,99.60,0.70,21.20,54.80,77.40,96.80,54
40.30,39.90,19.80,36.30,13.50,16.90,0.40,21.30,43.70,65.30,99.60,0.70,27.20,52.20,77.60,97.00,1.50,26.10,61.60,82.10,100.00,54
44.40,36.10,19.40,29.90,15.00,16.80,0.90,19.40,43.50,70.40,100.00,3.70,27.80,53.70,76.90,99.10,2.80,25.00,45.40,67.60,94.40,57
38.10,37.10,24.80,24.00,16.30,19.20,6.70,24.80,43.80,69.50,95.20,1.90,21.90,53.30,81.90,100.00,1.00,25.70,41.00,75.20,91.40,57
45.30,35.90,18.80,42.90,20.60,17.50,1.60,17.20,42.20,67.20,100.00,6.20,28.10,46.90,73.40,98.40,9.40,25.00,53.10,75.00,96.90,57
37.60,37.60,24.70,29.80,23.80,25.00,3.50,20.00,49.40,76.50,100.00,2.40,30.60,54.10,72.90,97.60,1.20,18.80,38.80,63.50,94.10,57
35.60,33.30,31.00,23.30,20.90,23.30,6.90,19.50,51.70,75.90,92.00,4.60,29.90,48.30,69.00,96.60,1.10,13.80,37.90,74.70,100.00,57
37.70,37.70,24.60,26.40,19.20,19.80,1.10,20.80,50.80,72.70,100.00,1.60,25.10,43.20,70.50,99.50,0.50,27.30,51.90,73.80,92.30,57
33.30,32.10,34.50,21.70,22.90,19.30,1.20,28.60,45.20,71.40,95.20,3.60,19.00,52.40,70.20,94.00,2.40,26.20,50.00,79.80,100.00,57
37.70,32.50,29.90,32.90,23.70,17.10,1.30,18.20,48.10,71.40,97.40,6.50,31.20,46.80,75.30,98.70,3.90,16.90,45.50,68.80,100.00,57
38.70,28.00,33.30,24.30,35.10,13.50,1.30,29.30,52.00,74.70,100.00,6.70,26.70,44.00,69.30,97.30,2.70,14.70,41.30,66.70,98.70,57
42.10,34.70,23.20,30.20,19.60,12.70,1.10,21.60,46.80,76.80,99.50,2.60,25.30,53.70,74.70,100.00,0.50,31.10,47.40,65.80,97.90,59
40.40,34.90,24.70,31.70,19.30,17.90,0.70,15.80,37.70,70.50,100.00,1.40,29.50,53.40,76.00,97.30,12.30,32.20,56.20,77.40,97.90,59
41.20,34.10,24.80,28.00,15.60,21.80,0.90,23.50,49.60,72.60,98.20,2.20,26.10,46.00,74.30,99.10,0.40,23.90,53.10,74.80,100.00,59
37.40,38.70,23.90,28.90,19.00,20.20,2.10,22.60,47.70,74.50,99.60,1.20,24.30,48.10,77.40,100.00,0.40,25.90,54.70,71.60,99.20,59
38.60,36.60,24.80,27.30,18.40,21.20,0.80,20.70,43.50,69.10,98.40,0.40,25.60,53.30,74.80,99.60,1.60,27.20,50.80,81.70,100.00,59
38.70,33.50,27.70,23.40,24.70,17.50,1.90,26.50,50.30,72.90,97.40,0.60,24.50,49.70,73.50,94.80,1.30,18.70,40.60,76.10,100.00,59
36.80,35.50,27.70,20.10,18.80,24.70,5.80,19.40,44.50,72.30,96.80,1.30,31.00,49.00,74.80,100.00,0.60,22.60,53.50,68.40,97.40,59
33.60,49.60,16.80,33.10,10.50,19.40,5.60,21.60,47.20,67.20,99.20,1.60,32.00,54.40,76.00,100.00,0.80,17.60,29.60,68.80,95.20,59
36.80,40.40,22.80,32.30,21.40,15.60,0.50,20.70,42.50,69.90,98.40,2.10,23.80,48.70,75.60,99.50,1.00,32.10,57.50,74.60,100.00,59
39.90,41.10,19.00,34.40,14.60,19.70,0.60,20.30,48.10,75.30,98.70,1.30,27.80,51.90,71.50,100.00,7.00,22.80,44.30,67.70,99.40,59
36.70,36.60,26.70,27.90,19.20,18.80,0.20,22.50,43.40,68.90,100.00,0.40,26.70,51.10,75.40,99.60,1.50,24.60,54.40,79.40,99.10,62
41.90,31.30,26.80,32.00,20.40,14.90,1.30,24.20,52.30,71.90,99.70,0.60,24.80,46.80,77.70,100.00,0.30,22.60,46.10,72.30,98.70,62
36.40,40.10,23.50,30.00,18.80,18.10,0.70,26.50,50.30,74.10,100.00,0.30,27.20,50.00,76.90,99.30,1.00,20.70,46.30,71.80,99.70,62
53.60,31.90,14.50,34.50,15.80,10.10,0.60,21.10,50.20,77.00,100.00,0.30,26.50,51.40,69.70,99.40,2.80,26.20,42.60,73.80,97.50,62
45.30,34.70,20.00,31.10,18.20,15.20,0.40,22.60,51.70,77.70,100.00,0.80,27.50,51.30,74.30,99.20,1.10,24.20,41.90,69.10,97.00,62
45.40,33.80,20.80,29.50,19.00,17.50,1.10,21.90,50.60,73.20,99.60,0.40,24.90,47.60,75.50,100.00,2.60,30.10,51.30,73.60,97.40,62
47.60,32.00,20.40,30.40,17.80,14.40,0.20,24.30,49.80,72.70,99.40,1.10,21.70,48.90,74.70,100.00,4.30,28.30,52.20,78.70,99.80,62
50.30,34.60,15.10,30.60,13.20,12.00,0.30,28.00,51.90,71.40,99.70,3.10,25.20,50.30,80.20,100.00,0.90,13.80,38.10,79.60,98.70,62
44.80,31.50,23.70,25.30,22.00,14.60,1.20,30.30,53.70,79.20,100.00,0.60,22.30,40.70,65.90,99.40,0.30,22.60,48.70,78.90,99.70,62
44.10,29.70,26.20,24.70,20.40,14.90,0.40,22.70,45.30,76.20,99.20,2.70,21.90,45.70,72.70,100.00,0.80,31.20,54.70,74.20,97.70,62
44.40,28.80,26.80,23.00,22.40,15.80,0.70,24.20,48.40,67.30,99.30,4.60,35.30,56.90,79.70,100.00,1.30,20.30,43.10,74.50,98.00,62
41.70,41.00,17.30,32.20,15.90,14.10,0.70,25.80,49.80,75.30,97.40,1.50,20.30,46.90,72.00,100.00,0.40,28.00,53.50,76.00,99.60,69
41.60,34.40,23.90,29.30,20.70,16.40,1.60,23.30,50.20,73.40,99.70,0.30,24.30,51.80,75.40,99.00,1.00,25.60,44.90,72.10,100.00,69
41.40,37.20,21.40,29.90,21.10,13.60,0.30,24.30,51.50,76.40,99.40,1.60,21.70,47.20,74.40,99.70,1.30,26.20,46.30,72.20,100.00,69
44.50,34.90,20.60,31.80,17.80,16.30,0.60,23.80,48.50,76.70,99.70,0.30,22.40,47.10,70.90,98.00,1.20,31.70,54.70,77.30,100.00,69
39.90,41.30,18.80,37.70,15.90,16.90,0.50,30.80,52.90,77.40,99.50,1.00,25.00,48.10,75.00,100.00,2.40,13.90,37.50,66.30,97.10,69
40.10,35.60,24.30,26.90,22.40,15.90,0.60,24.60,49.50,76.10,99.70,1.00,21.00,48.50,68.30,99.40,0.30,27.20,51.10,83.20,100.00,69
37.10,37.50,25.30,26.00,18.80,18.60,0.20,21.50,47.20,77.80,97.70,0.60,26.30,48.70,73.10,99.60,2.30,27.90,52.80,76.80,100.00,69
40.50,35.10,24.30,29.30,23.80,15.70,1.40,25.10,51.40,73.00,99.70,0.50,26.20,51.90,76.20,99.50,0.30,23.00,45.70,69.20,100.00,69
41.20,34.90,23.90,31.20,20.30,17.70,0.40,23.90,50.00,72.70,100.00,0.80,21.00,44.50,68.10,98.70,2.10,28.60,55.90,82.80,99.20,69
44.90,34.00,21.20,27.80,19.70,15.00,0.60,21.20,50.50,73.50,99.40,0.30,24.90,47.40,69.50,99.70,3.40,33.30,57.00,81.30,100.00,69
44.20,32.00,23.80,29.10,21.40,15.60,0.30,25.60,48.50,72.30,99.40,0.60,18.90,42.70,70.70,99.10,1.20,29.30,58.20,80.80,100.00,69
46.40,30.40,23.20,34.50,23.60,14.50,3.60,30.40,46.40,78.60,98.20,8.90,14.30,37.50,62.50,100.00,1.80,7.10,50.00,58.90,92.90,72
44.90,34.60,20.50,32.50,20.80,13.00,7.70,24.40,50.00,73.10,100.00,1.30,14.10,30.80,69.20,94.90,3.80,46.20,61.50,78.20,97.40,72
34.20,44.70,21.10,22.70,16.00,25.30,9.20,25.00,48.70,69.70,100.00,2.60,22.40,47.40,73.70,96.10,1.30,14.50,55.30,77.60,97.40,72
49.50,32.00,18.60,26.00,21.90,13.50,1.00,23.70,52.60,68.00,100.00,6.20,27.80,43.30,79.40,99.00,2.10,18.60,45.40,73.20,92.80,72
42.90,40.80,16.30,33.00,18.60,12.40,1.00,28.60,48.00,73.50,100.00,4.10,20.40,37.80,67.30,99.00,3.10,11.20,66.30,83.70,98.00,72
45.30,37.70,17.00,31.40,13.30,18.10,0.90,25.50,42.50,70.80,97.20,2.80,26.40,60.40,79.20,99.10,1.90,11.30,48.10,66.00,100.00,72
35.60,35.60,28.70,26.00,18.00,20.00,2.00,23.80,53.50,69.30,97.00,1.00,29.70,46.50,87.10,100.00,9.90,22.80,41.60,61.40,93.10,72
63.60,30.90,5.50,40.70,3.70,3.70,1.80,25.50,50.90,76.40,100.00,5.50,10.90,36.40,58.20,98.20,3.60,3.60,52.70,54.50,54.50,87
42.20,39.10,18.80,33.30,15.90,9.50,1.60,21.90,40.60,67.20,98.40,9.40,28.10,56.20,73.40,100.00,3.10,6.20,42.20,57.80,95.30,87
34.00,45.00,21.00,37.40,16.20,17.20,2.00,26.00,51.00,78.00,100.00,4.00,24.00,47.00,71.00,99.00,1.00,14.00,34.00,60.00,96.00,87
27.20,49.40,23.50,27.50,12.50,18.80,3.70,27.20,49.40,61.70,81.50,6.20,25.90,56.80,86.40,100.00,1.20,8.60,40.70,60.50,92.60,87
35.70,39.20,25.20,32.40,19.00,17.60,0.70,24.50,56.60,74.80,98.60,1.40,21.70,49.70,69.20,100.00,2.80,25.90,42.00,78.30,99.30,87
38.10,39.20,22.70,33.30,20.80,16.70,2.10,19.60,39.20,73.20,99.00,9.30,29.90,58.80,78.40,96.90,1.00,17.50,48.50,62.90,100.00,87
31.80,35.30,32.90,22.60,29.80,20.20,1.20,31.80,58.80,81.20,100.00,4.70,15.30,40.00,57.60,92.90,2.40,25.90,54.10,82.40,97.60,87
41.20,30.60,28.20,26.20,15.50,16.70,1.20,17.60,50.60,81.20,98.80,5.90,23.50,54.10,70.60,97.60,3.50,22.40,31.80,71.80,100.00,87
42.60,32.80,24.60,33.90,19.00,18.20,1.60,21.30,37.70,69.70,99.20,0.80,25.40,54.90,77.00,97.50,2.50,36.10,55.70,81.10,100.00,87
42.40,31.20,26.40,28.20,26.60,15.30,0.80,27.20,43.20,69.60,100.00,1.60,13.60,48.80,71.20,98.40,4.00,25.60,56.00,82.40,99.20,87
37.80,33.70,28.60,29.90,24.70,19.60,1.00,21.40,46.90,71.40,96.90,6.10,27.60,51.00,69.40,98.00,4.10,23.50,44.90,78.60,100.00,87
21.60,50.50,27.80,25.00,14.60,25.00,12.40,29.90,52.60,70.10,99.00,5.20,19.60,41.20,71.10,97.90,1.00,28.90,55.70,79.40,100.00,87
31.50,41.60,27.00,25.00,22.70,15.90,5.60,25.80,46.10,66.30,91.00,1.10,16.90,40.40,73.00,100.00,7.90,32.60,60.70,80.90,97.80,87
61.10,13.90,25.00,17.10,34.30,8.60,5.60,25.00,47.20,69.40,94.40,13.90,13.90,19.40,63.90,100.00,2.80,22.20,36.10,58.30,97.20,110
54.20,22.90,22.90,31.90,38.30,8.50,4.20,25.00,45.80,66.70,100.00,2.10,6.20,62.50,83.30,93.80,18.80,22.90,43.80,60.40,97.90,110
50.80,24.60,24.60,26.60,31.20,10.90,4.60,30.80,55.40,76.90,100.00,3.10,26.20,35.40,75.40,95.40,1.50,12.30,46.20,64.60,96.90,110
46.90,23.40,29.70,19.00,38.10,14.30,4.70,25.00,53.10,71.90,98.40,1.60,10.90,35.90,50.00,85.90,3.10,23.40,54.70,78.10,100.00,110
43.20,21.60,32.40,19.40,38.90,19.40,8.10,21.60,40.50,70.30,100.00,10.80,13.50,43.20,54.10,81.10,5.40,37.80,67.60,83.80,97.30,110
41.90,32.30,25.80,40.00,30.00,6.70,3.20,25.80,45.20,67.70,90.30,12.90,16.10,48.40,58.10,93.50,6.50,19.40,41.90,80.60,100.00,110
58.30,8.30,33.30,11.40,51.40,5.70,5.60,22.20,50.00,66.70,97.20,30.60,30.60,88.90,94.40,94.40,2.80,16.70,38.90,69.40,100.00,110
48.60,21.60,29.70,11.10,33.30,11.10,2.70,27.00,48.60,70.30,100.00,5.40,8.10,13.50,35.10,81.10,18.90,43.20,64.90,78.40,91.90,110
55.00,27.50,17.50,28.20,25.60,10.30,2.50,17.50,40.00,67.50,95.00,12.50,15.00,52.50,77.50,100.00,32.50,32.50,57.50,72.50,97.50,110
46.80,23.40,29.80,23.90,26.10,10.90,6.40,25.50,51.10,72.30,100.00,4.30,36.20,48.90,57.40,97.90,2.10,10.60,31.90,80.90,95.70,110
58.30,27.80,13.90,37.10,17.10,0.00,2.80,25.00,44.40,61.10,97.20,5.60,19.40,72.20,77.80,100.00,11.10,11.10,13.90,36.10,88.90,110
43.60,43.60,12.80,47.40,18.40,5.30,2.60,30.80,51.30,69.20,97.40,5.10,12.80,28.20,53.80,92.30,48.70,48.70,64.10,84.60,100.00,110
45.70,34.80,19.60,42.20,20.00,11.10,6.50,19.60,47.80,65.20,93.50,2.20,21.70,56.50,80.40,100.00,17.40,23.90,32.60,45.70,95.70,110
61.10,13.90,25.00,20.00,40.00,8.60,2.80,19.40,38.90,63.90,97.20,5.60,5.60,27.80,72.20,91.70,13.90,41.70,55.60,75.00,100.00,110
